,Unnamed: 0,gender,age,emotion,base,rewriting
1262,1262,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Revisiting traumatic events by attempting protocol 11 can bring up negative and unmanageable emotions. Have you attempted to revisit the event by taking protocol 11 and felt bad as a result?
1265,1265,Female,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Sometimes bad feelings may come back because something happens to bring them up again. Have you tried protocol 11 recently, and had trouble distancing yourself from the negative feelings that arose thinking about the past?"
1266,1266,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for sharing this with me. Can I ask, have you discussed this past event recently or attempted to relive it and may that have caused you some discomfort or brought up some negative emotions?"
1270,1270,Male,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,I appreciate that it can be difficult to overcome negative thoughts from the past. Has trying out protocol 11 recently jogged your memory and caused you anxiety by making you recall this event?
1271,1271,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Protocol 11 can be of great help but I know that it can also sometimes cause unwanted stress. Have you given protocol 11 a go recently and found yourself too distressed after taking it?
1273,1273,Male,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I know this is hard, so thank you for sharing with me. Did trying protocol 11, if you have, reignite this bad feeling for you?"
1275,1275,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Dealing with past traumas can be really tough, I appreciate your courage. May I ask if you have attempted protocol 11, but found it too tough?"
1277,1277,Female,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I know that protocol 11 can often be a trigger for renewed feelings of anxiety around a past traumatic event, so before I recommend it I'd like to know if that has happened to you. Is protocol 11 something you have tried recently and has it made you feel anxious?"
1279,1279,Female,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Sometimes when we go through certain protocols and find that, as we do, these can uncover negative emotions and experiences. Have you ever tried protocol 11 but found it too distressing?"
1280,1280,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Protocol 11 can really bring back memories, and this can be either good or bad depending on the situation. Have you tried protocol 11, and has it negatively affected you?"
1283,1283,Male,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Very well, I'm sure you are familiar with protocol 11. Have you made an attempt at protocol 11 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these past events?"
1284,1284,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,It can be difficult to cope with what has happened in the past. Have you already tried protocol 11 to revisit this event but found it too hard and painful?
1289,1289,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Sometimes revisiting traumatic events can be more painful than it's worth. Did you try to revisit this event recently, but found it too hard?"
1291,1291,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Protocol 11 has been known to negatively affect some people, and I wonder if it could be causing your current emotions, if you attempted it recently. Are you familiar with protocol 11, and if so do you think it might have contributed to your anxiety?"
1292,1292,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you, I was thinking of protocol 11 as a possible recommendation for you, but I know that sometimes and in certain situations it can be unpleasant. Have you given protocol 11 a try and was it unpleasant for you?"
1293,1293,Female,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I feel that I could suggest protocol 11 to you to deal with this past event, however I would like to make sure that it is right for you. Have you attempted protocol 11 in the past and found that it reignited uncomfortable emotions?"
1295,1295,Male,40-69,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Protocol 11 can sometimes upset people, so I wonder if that has happened to you. Is protocol 6 something you have tried and found yourself upset as a result of it?"
1296,1296,Male,18-39,Anxious,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Protocol 11 could help in your situation, however it is not right for everyone, so I would like to understand if it is the appropriate choice for you. Have you already undertaken protocol 11 in the past and found that it reignited unmanageable emotions as a result of old events?"
1298,1298,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,I appreciate that you felt comfortable enough to share that with me. Do you feel up to sharing some more so I can help?
1299,1299,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you, the state of your wellbeing is very important to me. I will now ask questions about yourself in hopes to alleviate this distress."
1300,1300,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you very much for sharing this with me, I know that it is not an easy thing to do. If you feel up to it, I would like to ask you some more questions so that I can get a better understanding of your situation."
1301,1301,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you, you have been really brave in sharing so far. I want to see if I can support you by understanding how you are feeling and the causes of those feelings by asking you a few more questions, is that OK with you?"
1302,1302,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"I know this may be hard for you to discuss but your information has been very useful, thank you. Is it OK if I continue to ask you some more questions so I can get a clearer understanding of your situation?"
1303,1303,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing these details, I know this must be difficult for you. Now I'd like to ask some questions to better understand your situation."
1305,1305,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,I really appreciate your answers to my questions to date. I am going to run through some queries I have to be fully aware of your situation.
1306,1306,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you mind if I ask you a few more questions?"
1308,1308,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing your feelings with me. To understand your situation I would now like, with your permission, to ask you some questions."
1309,1309,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, I know it can be difficult sometimes. Can we talk a little bit more about your current personal circumstances?"
1311,1311,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing with me, you're doing well. Do you mind if I ask you some more questions so that I can understand your situation better?"
1312,1312,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Your responses have been so helpful to my understanding. I would like very much though to understand more, so I have a few more questions if that's ok with you?"
1313,1313,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,I am glad you were able to open up to me. I hope we could delve in further to this matter.
1314,1314,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"I'm so glad you shared that with me, it really helps me understand better. I'd like to ask some more questions now to carry on that journey."
1315,1315,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"I really appreciate you sharing your feelings with me. If you feel comfortable to continue, I would like to ask you some questions to understand your situation a little more."
1316,1316,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing this with me, I understand things like this can be difficult to open up about. I want to help, and in order to do so, I'll need to ask some questions about your situation."
1318,1318,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, I know that can't have been easy for you. If it's OK, I'd like to talk about your situation a bit more so I can understand where you're coming from."
1319,1319,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,I am more than happy to listen to your concerns and sharing your feelings with me. Would you like to talk some more so that I can provide some useful suggestions to you?
1320,1320,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,Thanks for sharing all this with me. Do you mind if we move on and work through this together?
1321,1321,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thanks so much for telling me. If you don't mind, I'll ask you a few questions so I can better understand what's happening."
1324,1324,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,I really appreciate you being open with me. I still have some questions if you don't mind.
1326,1326,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,Thank you for trusting me and sharing with me how you feel. Would it be ok for me to ask you some questions? I would like to better understand in order to help you.
1328,1328,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing these feelings, I understand that it may be a difficult process for you. If it's ok with you, I'd like to ask you some more questions to help me understand your situation better."
1329,1329,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"You've been amazing so far and your feelings are absolutely valid, I know it can be very difficult revisiting or addressing anxiety or past events. Is it ok to ask some questions to understand your situation?"
1330,1330,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,It's good that you have shared how you feel. Shall we talk further to help me understand how I can support you in your situation?
1332,1332,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank for answering those questions, I understand that it may have been difficult for you. I'd now like to move on and ask you some more questions to better understand your feelings at the moment."
1333,1333,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for choosing to share your feelings with me. If you are comfortable, can I ask you some more questions to see how I can support you best?"
1335,1335,Female,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you, you've done so well sharing this with me. If it's ok with you, I'd like to ask some more questions to really understand what you're going through."
1339,1339,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you again for sharing this with me. If it's OK with you, I'd like to move onto some more questions to understand what's going on a little clearer."
1340,1340,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing with me. May I ask you some more questions, so that hopefully I can help you deal with this negative feeling?"
1341,1341,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing with me, I appreciate the trust you've placed in me. I'd like to ask you a few more questions about your situation, if that's okay with you."
1342,1342,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing your feelings with me. I'd like to try and understand your feelings a bit more now, using some questions."
1343,1343,Female,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for everything you have shared so far, I really appreciate it. I would like to ask some more questions now to understand the situation better."
1344,1344,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,Thank you for sharing and trusting me with this information. Maybe you can help me understand the situation clearer now.
1345,1345,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, it helps me understand what you've been going through. I'm just going to ask a few more questions to figure out what's the best way to help you through this."
1346,1346,Male,18-39,Anxious,Thank you. Now I will ask some questions to understand your situation.,Thank you for your openness so far. I would now like to continue with some more questions so that I can understand and help you better.
1347,1347,Male,40-69,Anxious,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing this with me, I appreciate that its hard and upsetting for you. Can I ask a few questions to help me understand what's going on?"
1349,1349,Male,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,I understand that you are going through a difficult moment and I believe that diving into the nature of these emotions will help me understand the best approach to take in order to help get rid of your distress. Have you ever felt or expressed any of the following emotions towards a person or people:
1350,1350,Female,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"You've shared with me that you have been feeling anxious, and I would now like to ask about your emotional state more in general. How about the following emotions, have you ever strongly felt any of these or expressed them towards someone else:"
1352,1352,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,I am going to give you a list of emotions. I would like you to consider them and then tell me if you have strongly felt any of them or expressed any of them towards someone in particular:
1353,1353,Male,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I understand you are feeling anxious. In addition to this feeling, have you recently also felt any of the  following emotions towards someone:"
1354,1354,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I completely understand how you are feeling and it must be so hard. If I may ask, do you feel you have expressed any of these emotions to someone:"
1356,1356,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Do you think that you have strongly felt or expressed any of these emotions towards someone:"
1359,1359,Male,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,When we don't feel ourselves sometimes we can take it out on the people around us. Have you intensely felt or expressed any of the following emotions towards anyone in your life:
1361,1361,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Feeling strong emotions towards others is quite normal, I'm not here to judge you for it. Have you felt or expressed any of the following emotions towards others:"
1364,1364,Female,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Feeling anxious can be mixed up with other emotions too, and I'd like to see if you recognise any of the ones in this list, or if they seem familiar to you. Have you experienced any of the following emotions strongly before:"
1368,1368,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I expect you have a lot of strong feelings as a result of your situation. Have you been feeling any of the following emotions, either on the inside, or expressed them towards another person:"
1369,1369,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Sometimes anxiety may cause a lack of trust in people, anger towards others or wanting to seek revenge. Do you feel that your anxiety may have caused you to feel any of these other emotions:"
1374,1374,Male,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Everyone deals with so many emotions throughout the day, and not all of them are positive. I want to ask you if you have recently felt any of these emotions in particular:"
1376,1376,Female,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Sometimes we can reflect feelings of envy, greed, jealousy, hatred or malevolence upon others, and past mistrust can lead to thoughts of revengefulness, but be reassured that all of these emotions are perfectly normal to feel. Do you think you could perhaps be feeling any of these emotions:"
1378,1378,Female,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"You said that you are having anxious feelings, I wonder if you can also remember if you have felt any other strong emotions towards another person. Do you feel that any of these may apply to how you've felt recently:"
1380,1380,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"It's good that you have recognised how you are currently feeling, let's see if we can identify other negative emotions that have been bothering you. Have you felt or expressed any of the following towards anyone recently:"
1382,1382,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,I think sometimes anxiety may bring on other strong emotions. Could you tell me whether you have been feeling or have expressed any of these emotions towards someone:
1383,1383,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Emotions are often difficult to identify, I think you are doing a great job. Its important we understand where our emotions come form, so I'd like to ask you if you have felt any of these recently:"
1386,1386,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I know when I get anxious or scared, I can sometimes react in a negative way without thinking; I wonder if the same has ever happened to you too. Would you say, if I may ask, that you have strongly felt or expressed any of the following emotions towards someone:"
1389,1389,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I know you said you've been feeling anxious today, so I'd just like to know if you have been feeling other negative emotions. Are any of these emotions things you have felt in the past, or the present:"
1391,1391,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"Sometimes we feel strong emotions that are not becoming of us; it's ok to feel them, but it's worth reflecting upon them. Do you think you may have expressed any of the following negative emotions towards someone recently:"
1393,1393,Female,18-39,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I would like to know, if possible, whether you have experienced any negative and hard-to-deal-with emotions lately. Could you tell me, have you strongly felt or expressed any of the following emotions toward anyone you know:"
1395,1395,Male,40-69,Anxious,Have you strongly felt or expressed any of the following emotions towards someone:,"I want to ask you about the feelings we are not proud of, but when we are not feeling well, sometimes negative emotions towards other people can stick in the front of our mind. Have any of these emotions that troubled you lately:"
1399,1399,Female,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I'd like to investigate a little to figure out the origin of your anxiety, if I may. Do you usually see yourself as a rescuer, tasked with saving others from their own problems and misfortunes?"
1400,1400,Male,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what's making you feel like this. Can I ask, in your life do you feel like its your job to somehow 'save' someone else?"
1401,1401,Female,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"Sometimes we wish we could help or save everyone around us, even at the expense of our own happiness. Have you felt particularly inclined to save or rescue someone lately? "
1402,1402,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I'd like to investigate a little to figure out the origin of your anxiety, if I may. Do you usually see yourself as a rescuer, tasked with saving others from their own problems and misfortunes?"
1413,1413,Female,40-69,Anxious,Do you believe that you should be the saviour of someone else?,I understand that you are feeling anxious. Do you think that your anxiety could be a result of you trying to save someone who might not need saving?
1414,1414,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,Perhaps you are putting too much pressure on yourself to help others. Do you think others rely on you too much?
1416,1416,Male,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"Sorry to hear about your troubles, let's try to get to the bottom of it. Do you believe you are letting someone down?"
1418,1418,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I know you are going through a difficult moment right now, but please let me investigate a little to try and find out if there's a deeper cause. Do you think you may have a tendency to try to save other people?"
1419,1419,Female,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I am sorry that you feel anxious, and I wish to try to understand a bit better if there are other factors at play. May your current feeling be caused by believing that you should help someone whenever they are in need?"
1424,1424,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I'm sorry to hear you're feeling anxious, and I'd like to try and find out why you're feeling this way. Do you have the feeling that you may be putting other people before yourself most of the time?"
1425,1425,Female,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"I want you to know that I completely understand what it's like to feel this way, and my next questions might help me understand what is going on under the surface. Do you think you could be trying to be the rescuer of someone else?"
1426,1426,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,I understand that you feel a little unsettled and anxious right now. Could you tell me a little more about how you feel? Are you feeling the need to help someone else in your life in order to make yourself feel better?
1432,1432,Male,18-39,Anxious,Do you believe that you should be the saviour of someone else?,"I can relate with what you're feeling right now and would like to see if there are deeper factors at play here. Do you see yourself as the kind of person who wants, or needs, to save others?"
1440,1440,Male,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"I understand that you are not feeling well today, and would like to investigate further what is bothering you. Are you feeling this way because you are trying to help someone that you care for?"
1442,1442,Male,40-69,Anxious,Do you believe that you should be the saviour of someone else?,"First of all, let me tell you that I totally understand where you're coming from and what it's like to have these feelings. I wonder, in your heart of hearts, do you think it's reasonable or healthy to always put others first?"
1449,1449,Female,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand thank you, then perhaps we should look elsewhere for the origin of this anxiety. Would you say that someone is victimising you right now, forcing you to do something you don't want to or causing you to suffer?"
1450,1450,Male,40-69,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you,  what I want to focus on now is how you feel about this anxiety. Does it ever feel like the reason you feel like this is because of what someone else has done?"
1460,1460,Female,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you, I'd like to ask a follow-up question, if that's alright. Can I ask if you feel as though other people might be the cause of your negative feelings, more than your own actions or behaviours?"
1464,1464,Male,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Well in that case, I wonder if, perhaps, you feel that you rely on the approval of others too much. Do you think that your negative feelings are in part caused by others?"
1465,1465,Female,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Okay, I'd be grateful if you could share some more with me. Do you perhaps see yourself as the victim? Could you be blaming someone else for how negative you feel?"
1468,1468,Male,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","That's ok, thanks. Do you blame anyone for what is happening to you and do you see yourself as a victim in all this?"
1475,1475,Female,40-69,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Ok, let's explore that a little further. Do you think you might be holding others responsible for how you feel about yourself, possibly seeing yourself as a victim?"
1476,1476,Male,18-39,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","That's fine, thanks for answering. I'd like to ask, if you don't mind, whether you feel you're being victimized and/or that someone else is responsible for how negative you have been feeling?"
1480,1480,Male,40-69,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","OK, thanks for your answer. Do you think that your negative feelings are being caused by someone else's actions toward you?"
1481,1481,Female,40-69,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Sometimes we might feel that others are responsible for our feelings. Do you believe someone is causing your anxiety right now?
1484,1484,Male,40-69,Anxious,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Could it be that perhaps you feel someone else might to be blame for your negative feelings, and this is contributing to your anxiety?"
1499,1499,Female,18-39,Anxious,Do you feel that you are trying to control someone?,"That's ok, thanks for letting me know. Could it be that you are the one who is trying to control others? Sometimes we might do this when we are experiencing pain ourselves."
1500,1500,Male,40-69,Anxious,Do you feel that you are trying to control someone?,"Thanks, it's ok to just say no or yes, because it helps me work out your feelings more clearly. Is there a relationship in your life where you might be trying to have a little bit too much control over them?"
1501,1501,Female,40-69,Anxious,Do you feel that you are trying to control someone?,"Sometimes we wish we could be there 24/7 for someone, but that can also turn into controlling behaviour. Do you think you may have displayed controlling behaviour toward someone, or tried to take over some aspect of their life?"
1508,1508,Female,40-69,Anxious,Do you feel that you are trying to control someone?,"Thank you. Do you, perhaps, believe that you are placing undue pressure on a person to get the results that you require?"
1510,1510,Female,18-39,Anxious,Do you feel that you are trying to control someone?,"I understand, thank you, I have another question I'd like to ask. Do you ever feel as though there are things or people in your life that are too unpredictable, and wish that you could have more control on them?"
1513,1513,Female,40-69,Anxious,Do you feel that you are trying to control someone?,"I can understand what is like to feel anxious, and sometimes anxiety can make us feel that someone is not acting as they should. Could it be that you are trying to control someone, without even realising it?"
1515,1515,Female,18-39,Anxious,Do you feel that you are trying to control someone?,"I see, thank you, let's move on to the next question to try to get to the root of your feelings. Do you feel, perhaps, like you are trying to control someone?"
1518,1518,Male,18-39,Anxious,Do you feel that you are trying to control someone?,"I appreciate you for opening up to me. In all this, do you see yourself trying to influence or control someone elses's actions?"
1519,1519,Female,18-39,Anxious,Do you feel that you are trying to control someone?,"I understand. Perhaps someone in your life is not behaving as you feel they should, and you may be encouraging them to change their ways?"
1525,1525,Female,40-69,Anxious,Do you feel that you are trying to control someone?,"Thank you for talking about this with me. Another possibility is that you may be trying to control someone else in order to feel less anxious, do you think this could be the case?"
1526,1526,Male,18-39,Anxious,Do you feel that you are trying to control someone?,"For one reason or another, it is quite common to want to control things or people in our life, especially when we are going through a rough patch and feel that nothing is going our way. Is there a chance that you might be trying to control someone you know?"
1527,1527,Female,18-39,Anxious,Do you feel that you are trying to control someone?,"Do you feel like maybe you are trying to control the outcome of a situation, when you should just accept the way things are and allow things to flow?"
1531,1531,Female,40-69,Anxious,Do you feel that you are trying to control someone?,It can be hard to accept that we cannot control other people's thoughts or actions. Have you found yourself trying to control someone lately? Please rest assured that I would not judge you for it.
1534,1534,Male,40-69,Anxious,Do you feel that you are trying to control someone?,"Thank you, I would like to help you feel better, as I know anxiety is difficult. Is it possible that you are trying to control someone and could this be contributing to your feelings of great stress?"
1545,1545,Male,40-69,Anxious,Do you feel that you are trying to control someone?,"Without being intrusive, may I ask if there is someone in your life who you feel is not behaving in a way that you wish they would?"
1549,1549,Female,18-39,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"I see, that's good, thanks. Lately, do you always find that you are putting the blame on yourself whenever something does not go according to plan?"
1550,1550,Male,40-69,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, I want to ask again about how you feel about this anxiety. Do you ever have a voice inside you that has a go at you, tells you that this is actually all down to you, that you're to blame for feeling like this or that it's your fault that something has gone wrong?"
1558,1558,Female,40-69,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"That's ok, thanks. Do you always take a situation so personally that you feel responsible for the failure and believe that it is always your fault?"
1560,1560,Female,18-39,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, noted, let's explore further if that's ok. Sometimes things might go wrong or not work out; when this happens, do you feel as though you are always the one at fault?"
1567,1567,Female,40-69,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Im sorry that you are not feeling great, and I wonder if you are putting the blame on yourself for it. Do you think you are always blaming yourself for every problem?"
1568,1568,Male,18-39,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Thanks, your emotions and feeling are valid and I'd like to understand more. Do you always feel that you are to blame for any predicaments or issues in your life?"
1575,1575,Female,40-69,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, I'd like us to dig a little deeper if that's ok with you. When things don't work out the way you'd like, do you think you always blame yourself for that?"
1590,1590,Male,40-69,Anxious,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you. There's no right or wrong answer here, it's good to just explore things. Do you think that you are always responsible when things don't work out the way you want them to?"
1606,1606,Female,40-69,Anxious,"In previous conversations, have you considered other viewpoints presented?",Sometimes it's easy to get blinkered by our own perspective. Are you normally open to other people's view points?
1610,1610,Female,18-39,Anxious,"In previous conversations, have you considered other viewpoints presented?","Now, I'd like you think back to conversations you have had with friends, family, or co-workers. Do you feel that you are good at listening to other people's opinions and considering all points of view with understanding?"
1613,1613,Female,40-69,Anxious,"In previous conversations, have you considered other viewpoints presented?","I understand how you are feeling and do not wish to offend you in any way, but I do need to ask about how you engage with other people and their ideas. Have you considered other people's viewpoints in previous discussions you've had, both about this issue and about other subjects?"
1618,1618,Male,18-39,Anxious,"In previous conversations, have you considered other viewpoints presented?","Thanks, I appreciate your honesty and you seem to me a very open person, however it is easy sometimes to get too attached to our convictions and this can prevent us from growing as individuals. In all honesty, do you feel that you have always been able to take onboard other people's point of views?"
1626,1626,Male,18-39,Anxious,"In previous conversations, have you considered other viewpoints presented?","I'd like you to think carefully and tell me, honestly, if you think you have been fully listening to other people's advice lately and thought it was worth taking that advice onboard."
1630,1630,Male,40-69,Anxious,"In previous conversations, have you considered other viewpoints presented?","Please think back to previous conversations with other people. In previous conversations you've had, did you consider the viewpoints of the other person, even when they were different from your own?"
1633,1633,Female,18-39,Anxious,"In previous conversations, have you considered other viewpoints presented?","I see, thank you, and what about how you relate to others. Can you say, with honesty, that you taken other people's feelings into consideration and listened carefully to what they had to tell you?"
1649,1649,Female,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"In order for me to be able to help you, I would need to know if there is something major going on in your life. Do you feel you are having a particularly hard time right now, either at work, at home or with friends?"
1650,1650,Male,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for your patience in answering these questions, I would like to focus on how you're really, truly going through right now. Is this anxiety actually worse than we've talked about, are you really suffering due to something major that is going on in your life?"
1656,1656,Female,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"It seems like you may be having a tough time, please know that you can talk to me. Is something particularly distressing going on in your life? "
1660,1660,Female,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Can I ask whether you are experiencing any particularly difficulties or hardships in your life at the moment, which might be causing you excess worry or distress?"
1663,1663,Female,40-69,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for being open with me, I really appreciate that. May I ask if you are experiencing some issues with loved ones or friends, or have you dealt with any other major distressing event?"
1665,1665,Female,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Please remember this is a safe space and I am here to help you feel better. If I may ask, do you feel that you are undergoing a personal crisis right now (for example experiencing difficulties with loved ones or falling out with friends)?"
1668,1668,Male,18-39,Anxious,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for everything you've shared so far. If I may ask, do you feel like you are going through a particularly difficult situation, either with family, friends or loved ones?"
