response,annotator1_score,annotator2_score,annotator3_score,empathy_score
"First of all, let me tell you that I totally understand where you're coming from and what it's like to have these feelings. I wonder, in your heart of hearts, do you think it's reasonable or healthy to always put others first?",2,2,2,2
"I would like to know if there is anything happening right now that feels bigger than normal. Are you going through a rough patch, or a personal crisis? if so, you can tell me.",2,1,2,2
"Thank you for that; I think that Protocol 11 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried Protocol 11, and if so did it stir up difficult or traumatic emotions?",2,2,2,2
"Please tell me, are you always putting the blame on yourself when things go wrong?",1,0,1,1
"If I may ask, do you consider yourself the kind of person who always wants to be in charge?",2,0,1,1
Have you experienced any of these strong feelings or emotions towards anybody recently:,0,0,1,0
"I'm sorry to hear that. There are other protocols we could try, if you would like to attempt another?",1,2,2,2
Was the event that caused your sadness a recent event or something that happened a while ago?,1,1,2,1
Do you think someone else may benefit from your help?,1,0,0,0
I am sorry to hear you feel that way. Would you like to try another protocol?,1,2,2,2
"OK, that makes sense, thanks for telling me. Is this event something that happened a while ago, or recently?",2,1,2,2
Do you believe there is someone who deserves to be saved by you?,0,1,0,0
Do you feel there is something you can do that will make someone else better?,1,0,0,0
"Have you thought about other people's viewpoints that may have been presented to you in previous conversations, in order to solve or alleviate your problems?",1,0,2,1
There are a number of protocols we can try. Which of the following would you like to explore?,1,2,2,2
May I ask if you always believe you are the main cause of your problems?,2,0,1,1
Do you feel you are having troubles with those close to you in your daily life?,0,0,1,0
Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?,2,1,2,2
"I understand. Can you tell me the timing of this event so I can further understand what is making you anxious, was it recent or distant?",1,2,2,2
"I understand it can be difficult. May I ask if you have tried Protocol 11 to better understand the emotions you felt, but it was just too painful to get through?",2,2,2,2
"Do you feel you do not share any responsibility for this, and others are to blame for having hurt you?",0,1,1,1
"Do you see yourself as the victim, or do you blame someone else for your feelings?",0,0,1,0
I would like to know a bit about how you view your role within your social circle. May I ask if you believe that it is your own responsibility to rescue another person from their problems?,2,1,2,2
Did the protocol have any positive or negative effects?,1,0,0,0
"Thinking about more or less recent situations, have you ever put yourself in someone else's shoes during a conversation?",1,0,2,1
Would you say that someone else is causing your negative emotions?,1,1,2,1
"I understand, and I am sorry to hear that. May I ask if this feels like something that happened recently, or is it a memory of something more distant in the past?",1,2,2,2
Let's talk again soon.,0,0,0,0
Thank you ever so much. I hope to see you soon.,0,1,1,1
Do you always blame and accuse yourself when things don't go to plan?,0,0,0,0
I understand you're not feeling the best at the moment. Do you think the way you're feeling is related any particular incident?,2,2,2,2
"I'm sorry that you are angry, and I wonder if this may be a symptom of something bigger. Have other major difficulties been happening in your life recently?",1,2,2,2
I would like to know if you feel understood or antagonised by others around you; this is important for me to be able to help you. Do you think others around you understand you or are they actually part of the problem?,2,2,2,2
"Has the protocol helped you to feel better, or do you feel worse?",1,0,1,1
"I understand that you are not feeling well today, and would like to investigate further what is bothering you. Are you feeling this way because you are trying to help someone that you care for?",2,2,2,2
"Okay, thank you for that. Did you attempt Protocol 11 recently, and did it cause hard emotions to be relived?",1,1,2,1
How do you feel now?,1,0,0,0
"There are moments in life where we may experience emotions that we are not proud of, but that is ok, as long as we are ready to learn from them. Would you say that you have felt any of the following emotions recently:",2,2,2,2
Here are some protocol suggestions that you could try today. I'd like you to choose the protocol you would like to attempt.,1,2,2,2
Have you fully considered the perspectives of those you have talked to in the past?,0,0,1,0
"Are you worried that you might take out these feelings of anger on someone, trying to control them perhaps?",1,2,2,2
Did this happen recently or a long time ago?,0,0,0,0
Can you confidently say that you are always able to consider other people's perspectives?,1,0,0,0
"Now that you have selected the one you wish to try, go through it thoroughly. Select 'continue' when you are ready.",0,1,0,0
Would you say that you are having problems relating to difficulties with your friends or family?,1,0,1,1
Are you going through delicate and difficult moments with other people right now?,1,0,0,0
Has this event happened recently or was it a while back?,0,0,1,0
How do you feel now? I hope that it will have been of benefit to you.,2,1,2,2
Do you think it's always your fault when something goes wrong in your life?,0,0,1,0
Have you taken what is going on in your life and looked at it from different perspectives?,0,1,0,0
I'm sorry to hear that. Has something happened to make you feel like that?,1,1,2,1
Have you ever taken any advice or new perspective that was offered to you into practice in your own life?,1,0,0,0
I would like you to pause for a second and consider whether you always blame yourself when something goes wrong?,1,0,1,1
Do you like being in control?,0,0,0,0
Are these feelings being caused by a recent event or have you felt this way before due to a more distant event?,0,1,1,1
"Thank you so much for your input. It sounds to me that you are feeling {} right now, does that sound accurate?",1,2,2,2
"Could it be, perhaps, that you are displaying some kind of controlling behaviour?",1,2,1,1
"Do you feel better, or has it actually made you feel worse?",2,0,1,1
That's alright. Would you like to try another protocol maybe?,0,1,1,1
"I understand you're feeling down, and I am sorry to hear it. I would like to better understand what happened by asking some follow-up questions.",1,2,2,2
Is there anything going on in your personal life that is causing you to feel this way?,0,1,1,1
"It's completely normal to feel how you are feeling, I understand and I'd like to help. Do you think this was caused by anything specific?",2,2,2,2
Thank you for answering that. Do you blame someone else for the negative emotion that you are feeling right now?,1,2,2,2
Do you feel or believe that other people may have harmed you?,1,0,1,1
"Thanks, I appreciate your cooperation. See you again soon!",1,2,2,2
"Can you identify how you are feeling now, after doing the protocol?",0,1,1,1
Is your mood caused by anything specific?,0,0,1,0
"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?",2,2,2,2
This is fantastic to hear. Would you like to try a protocol?,1,2,2,2
Do you feel the need to control someone?,1,0,0,0
Thank you for you cooperation and taking part in this session. Looking forward to seeing you soon.,1,1,0,1
Do you always feel like you have to put others before yourself?,0,0,1,0
"Thank you so much for taking part in this session, I really appreciate your time and the thoughtful input you provided, and hope the session was of some use to you. I'm looking forward to seeing you again soon, take care.",2,2,2,2
"I am here with you. When did this happen, recently or in the more distant past?",1,2,2,2
"In order to help you, could you please indicate if you have felt any of the following emotions towards someone else:",0,1,2,1
"When something happens that makes you angry, do you ever try to step into the other person's shoes?",0,1,1,1
It is great to see you so positive today. May I recommend a protocol that is suitable for your current mood?,1,2,2,2
"Do you think you might be getting too involved, trying to control someone you shouldn't?",1,2,2,2
"Have you tried thinking back over that event by attempting Protocol 11, and if so how was that, did it bring back difficult emotions?",2,1,1,1
Thank you for trusting me within this session. Please come back whenever you feel like talking more.,1,2,2,2
"I understand that you may be feeling anxious, I would like to help you if you could could give me some more details. Do think this could be linked with any particular event?",2,2,2,2
Would you say that you tend to blame others for anything that goes wrong?,1,0,1,1
"Okay, saying that out loud is a good first step. Can you think whether the event that is causing you to feel this way happened recently or in the past?",1,1,2,1
"Thank you for sharing these details, I know this must be difficult for you. Now I'd like to ask some questions to better understand your situation.",2,2,2,2
I would like to know if you think that you always blame yourself when something goes wrong.,1,0,0,0
"I'd like to ask you about negative emotions that you may have felt; it is completely normal to feel them sometimes, but it's important that we learn to recognise them before they take over our lives. Do you recall having or expressing any of these strong negative feelings towards someone:",2,2,2,2
"Did you attempt Protocol 11 and, if so, did looking back at traumatic events reopen recent wounds that caused an outburst of emotions?",2,1,1,1
"Thank you for sharing this with me, I understand it can be difficult. Have you tried Protocol 6 recently and found it brought uncontrollable emotions stemming from past events back to life?",2,2,2,2
"Being totally honest with yourself, would you say that you always feel the need to be in control?",1,1,0,1
"I'm sorry this exercise has made you feel worse, sometimes a different approach works better for different people. Is there another protocol you would be willing to try?",1,2,2,2
"If I may ask you this, do you feel it's your job to save others?",2,1,1,1
"Based on what you've told me, I've selected some protocols that may be helpful to you. Would you like to try a protocol now? If so, please select it.",2,2,2,2
I'm very sorry to hear that you are sad. Did anything happen to cause your sadness?,1,2,2,2
"Is it possible that you are working through something particularly difficult right now, that is having a catastrophic effect on your life?",2,1,2,2
Thank you for sharing all that with me. If you don't mind I'm now going to ask you a few questions so I can further understand your situation.,2,1,2,2
"If I may ask, are you struggling with personal issues right now?",1,1,2,1
Has this protocol made you feel better or worse?,0,0,1,0
May I ask if you have already gone through Protocol 11 and found that it brought back difficult emotions?,1,2,1,1
Wonderful! How about I reccomend a protocol to you to make sure you treasure this positive feeling?,2,2,1,2
Have you tried using Protocol 11 and did it bring back uncomfortable emotions?,0,0,1,0
"Being loyal and helpful are always beautiful virtues to have, however, they can become unhealthy if we start to forget about our own wellbeing. Do you think it is more important to you to focus on helping others than growing and focusing on yourself?",2,1,2,2
"How are you feeling right now, did that help to make you fell better, or not really?",1,0,0,0
"If you feel comfortable sharing, could you tell me if that feeling comes from something specific that happened?",1,2,2,2
Do you find yourself trying to control how someone else behaves?,0,1,0,0
"When you are down, are you always blaming yourself for what has gone wrong in your life?",0,0,1,0
Would you like to try another protocol?,0,0,1,0
Are you having difficulties with life events right now?,1,0,0,0
"I am really sorry to hear that. I could suggest another protocol that could help, if you like.",1,2,2,2
Do you feel like someone is or was trying to hurt you?,1,0,1,1
Are you ready to try another now?,0,0,0,0
"I really appreciate you speaking with me, it takes courage to talk about one's feelings. I look forward to talking with you again!",2,2,2,2
I'm very sorry that you are going through this. Have you recently attempted Protocol 11 and found this reignited unmanageable emotions as a result of recent events?,1,2,2,2
Do you feel that you need to be in charge of someone else's behaviour lately?,1,0,0,0
"I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?",2,2,2,2
Has your current anxiety been caused by something in particular that you are aware of?,0,1,1,1
"I see, thank you for clarifying that. I would like to know, was this event quite recent, or more distant in the past?",1,2,2,2
Did something happen that made you feel this way?,0,0,1,0
"Do you feel that your actions are attempting to fix things, help or make things right for someone?",1,0,1,1
Do you always feel angry with yourself for the bad things that happen to you?,0,0,1,0
I do understand. Did a specific event occur to make this happen?,2,2,1,2
Have you got the feeling that someone else is responsible of how you feel now?,1,1,1,1
Is it possible that you're just trying to control all of the thoughts and actions of another person?,1,0,1,1
Would you say that the way you're feeling can be attributed to someone else?,1,1,2,1
Have you tried Protocol 11 lately and discovered this reignited unmanageable feelings because of recent memories?,2,1,1,1
Is there anything particularly difficult you are going through at the moment in your personal life?,1,2,1,1
"Thank you. From what you have told me I understand that you are feeling {}, do you think this more or less describes the way you're feeling?",2,1,2,2
"Deep down, do you have the feeling that you are attempting to control another person?",1,2,1,1
"Have you found yourself wanting to have more control over other people lately, or wishing you could change their behaviour?",1,1,2,1
Have you felt any of these negative emotions toward someone else:,1,0,0,0
"Thank you, you've been great and it's been a pleasure to work through this together. I hope you will be back soon.",2,2,2,2
Do you ever worry that you might be taking your negative feelings out on someone else?,1,0,2,1
"What has made you feel like this, if you don't mind telling me, was it a specific event?",2,1,1,1
"I'm sorry to hear that. Is there some recent event in particular that you could isolate as the cause for this, or is it an event that happened a while back?",1,2,2,2
Do you think it's always your fault when something goes wrong in your life?,0,1,0,0
It's OK to feel this way. Was this event recent or did it happen a while ago?,2,2,2,2
"May I ask if you feel like a victim right now, and blame your feelings on others?",2,1,1,1
That's unfortunate. Did anything in particular happen to make you feel this way?,1,1,2,1
"Are you taking ownership for the things that happen, or do you feel like others are to blame for the negative feelings you have?",0,1,0,0
Do you feel that you need to always be there for someone?,0,0,1,0
Thank you for letting me know. Was this caused by a recent or distant event (or events)?,2,1,1,1
Do you always believe that you are to blame for things going wrong or failing?,1,0,0,0
I believe these protocols may be of benefit to you. Have a look through them and tell me which one you would like to try out.,2,1,1,1
How do you feel?,1,0,0,0
Do you feel better now after following the protocol?,0,0,0,0
"Thank you for sharing your feelings with me, I appreciate your trust. If you do not mind I will now ask you a few questions to better understand the situation.",2,2,2,2
I would now like to delve more into understanding your dilemma by asking you some additional questions.,1,1,0,1
"Okay thank you, I'm glad you're comfortable talking about this. Was this event that caused your anxiety recent or a while ago?",2,1,2,2
"Do you always feel in the wrong, whatever happens?",1,0,0,0
"Thank you, it may help me to know when this occurred . Would you be able to tell me, was this a recent or distant event?",1,2,2,2
"I see, thank you. Do you ever see yourself as the victim for the negative feelings you have?",1,0,1,1
We meet another time.,0,0,0,0
Do you blame someone else for this negative emotions you are dealing with?,0,1,0,0
I can see you're feeling anxious. Has something happened that has you feeling this way?,1,1,0,1
"The cause of this anxiety, is it perhaps something that has happened in the past few days or does it feel more distant?",1,1,2,1
"Have a go at this protocol, when you finish press ""continue"".",0,0,0,0
Do you think there may be other viewpoints that could be taken into account in your current situation?,1,1,1,1
"Are you always taking responsibility for anything negative that happens in your life, even when you're not responsible?",1,0,1,1
I understand you are angry and you are hurting. Do you think those around you are causing the negative feelings you are experiencing?,2,2,2,2
Do you feel like you want or need to control the behaviour of someone else in your life?,0,1,1,1
I'm very grateful for your time spent on this. I hope to see you again.,1,2,2,2
Can you let me know if you have recently attempted Protocol 11 and found this reignited unmanageable emotions as a result of recent events?,2,1,1,1
"Have you been facing personal problems with certain people, for example colleagues, friends or family members?",1,0,1,1
"Now, it's perfectly normal to feel either better or worse immediately after doing this. How would you say you feel after completing the protocol?",1,2,2,2
"So, based on what we have discussed, I have the following recommendations for you to choose from. Please tell me which protocol you'd like to try.",1,2,1,1
"It seems that you're feeling {} today, is that an accurate enough description of what you're feeling?",1,0,1,1
"I understand it can be tough, so thank you for answering everything so patiently. Have you experienced intense emotional stress lately, or have you felt misunderstood by your friends or loved ones?",2,2,2,2
Please tell me how you're actually feeling.,0,0,0,0
It is great to see you so positive today. May I recommend a protocol that is suitable for your current mood?,2,2,2,2
Thank you for your time today. I hope you will come back to chat some more.,1,1,2,1
"That is not ideal, but please do not give up, it is normal that some protocols can stir up some negative feelings sometimes. Would you like to attempt another protocol at this time?",2,2,2,2
I think sometimes anxiety may bring on other strong emotions. Could you tell me whether you have been feeling or have expressed any of these emotions towards someone:,2,2,1,2
Have you recently revisited this event through Protocol 6 and found that it brought back anxious feelings and emotions?,0,2,1,1
"Looking at your personal life, do you feel that you are going through a personal crisis (having difficulties with loved ones, for example, fighting with friends)?",1,2,1,1
"Thank you, the state of your wellbeing is very important to me. I will now ask questions about yourself in hopes to alleviate this distress.",2,2,2,2
"Oh, I see. Did this happen recently or before?",1,1,2,1
How do you feel now? Better or worse?,0,0,0,0
"Thanks for trying the protocol. If you think about how you felt before taking it and how you feel now, would you say you feel better or worse?",1,2,2,2
Was there something in particular that happened to cause you to feel this way?,0,1,1,1
"Now that you have worked through the protocol, could you say whether you feel better or worse than you did before starting?",1,2,1,1
Do you find you spend a lot of energy trying to change the actions and behaviour of those around you?,1,0,1,1
Is there anything particularly stressful going on in your life?,0,0,1,0
"I have some recommendations that I think might be helpful. Please go ahead and take a look, you can select whichever protocol you feel most comfortable with.",1,2,2,2
Are you experiencing intense negative feelings as a result of fighting with the people in your life?,1,1,2,1
"Thanks, I understand. Do you feel you are always blaming yourself for the problems you face?",1,1,2,1
"Not every protocol works for everyone, and that's okay, I would recommend  not giving up and trying again. Would you like to attempt another one together?",2,2,2,2
"Have you ever stopped to think if you feel like this because you are trying to control someone, and found that you actually are?",1,0,0,0
Do you think you have a need for control in your relationships lately?,1,0,0,0
Do you feel as if you're always to blame when something goes wrong?,0,1,0,0
Do you believe you can help someone else even at the expense of your own happiness?,1,0,0,0
Could you tell me if this was something that happened recently or a while ago?,1,0,1,1
"Generally speaking, do you feel that others are to blame for your problems?",0,0,1,0
"Deep down, would you say that you feel good when you can control or manipulate someone else into doing what you want?",1,2,2,2
"Looking back, have you always tried to put yourself in other people's shoes?",0,1,1,1
"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Which protocol would you like to try?",2,2,2,2
"Thank you for sharing. I believe that you are {}, am I correct in saying that?",2,1,2,2
Would you be able to highlight the emotion that you are actually feeling right now from the ones below?,1,2,1,1
"I understand. I believe you are feeling {}, would you say that is correct?",0,0,1,0
"Do you feel, or would like to be, in control of others?",0,1,1,1
Choose whichever protocol you feel is best.,1,0,0,0
"Oh, I am very sorry to hear it, sometimes going through a protocol can bring back uncomfortable memories and I understand it can be tough. Would you like to try again with a different protocol?",1,2,2,2
"Was the event that caused these feelings recent, or was it in the distant past?",0,1,1,1
I'm sorry to hear about that. Did this happen recently or a while ago?,1,1,1,1
"Taking all you have said into consideration, I believe that you are feeling {}, is this the case? Please feel free to correct me if not.",1,2,2,2
"I have some recommendations I think could help you out if you wish. Of the protocols below, is there one you would like to try now?",2,1,2,2
Are you always trying blame yourself for negative situations and events?,0,1,0,0
"Do you tend to take things personally when facing a challenging or confrontational situation, always placing all the blame on yourself?",1,2,1,1
"Thinking about it, have you truly considered other viewpoints and perspectives presented to you by other people in the past?",1,1,2,1
Do you think this helped you feel better?,0,0,1,0
"Did you try out Protocol 11, and if so, did it make you feel worse?",0,0,0,0
Do you reckon that thinking back to the event now could damage you?,0,1,1,1
Shall we try a different protocol and see how you feel after that?,1,1,1,1
"Ok, thank you, let's see if we can get to the bottom of this. I'm going to ask you a few more questions if you do not mind.",1,2,1,1
"I see, thanks. And was this event, or events, distant or recent?",1,0,0,0
"Do you feel responsible for saving another person, a loved one perhaps?",1,1,1,1
Am I correct in assuming that you are feeling {}?,0,0,0,0
"Thank you, let's reflect on this feeling of yours a bit longer. Would you say you are a victim and are you blaming someone for how negative you feel?",1,2,2,2
Great! Now could you please try to go through this protocol and press 'continue' when you're finished.,1,2,2,2
Thank you. I'd like to ask you some more questions which might help me understand.,1,0,1,1
Could it be that you are trying to take charge of someone else right now?,2,1,1,1
"Please tell me, do you feel that it is someone else's fault that you are feeling this way?",0,1,1,1
"Would it be accurate to say that you are currently experiencing difficult circumstances in your personal life, for instance in relationships with either loved ones or friends?",1,2,2,2
What emotion would you say you are feeling at the moment?,1,2,1,1
Is this a particularly challenging period in your life at the moment?,0,1,0,0
"Thank you, I want to understand what is happening so I am better equipped to help. Would you say that rescuing others make you happy?",1,2,2,2
"I'm sorry that happened to you, it's hard to go through something distressing. Did this occur recently or a while back?",1,2,2,2
"I'm looking forward to seeing you again soon, take care.",1,1,2,1
"I really appreciate you speaking with me, it takes courage to talk about one's feelings. Please come back whenever you feel like talking more.",2,2,2,2
How are you feeling now?,1,0,0,0
May I ask if it was something recent or in the past that made this feeling come up?,2,1,1,1
Are you going through any personal trauma in your life?,0,1,0,0
I have some recommendations for you. Please take a look and choose any protocol that you'd like to try.,1,0,0,0
"When something goes wrong, do you always tend to blame yourself regardless of whether you really made a mistake?",1,1,1,1
Have any of these feelings been plaguing you recently:,0,0,0,0
It is important to understand how long you have been dealing with this issue. May I ask if this was a recent or distant event?,2,2,1,2
Do you think it is your responsibility to save someone else?,1,0,0,0
Do you feel like this is a personal crisis that you're experiencing?,0,1,0,0
I'm sorry to hear that. Is there one particular thing that caused this feeling?,1,2,2,2
Have you had any recent major issues with friends or family that may have caused these negative feelings?,0,2,2,2
Could you please tell me more about what happened. Was this event distant or recent?,2,1,2,2
"If I'm understanding correctly, you would identify as being {}, is that a fair assessment?",1,1,0,1
I'm very sorry to hear that. Would you like to give another protocol a try?,1,1,2,1
Here are my thoughts on which protocols would be best suited for you. Please select the protocol that you would like to try:,1,1,1,1
Would you say you feel better or worse after taking the protocol?,1,1,0,1
"Would it be fair to say that other people are often responsible for your negative feelings and thoughts, that you are somewhat helpless to this?",1,2,2,2
"Thank you for sharing. I believe that you are {}, am I correct in saying that?",2,1,1,1
"That's great, I'm glad you are willing to give this a try, hopefully you will find it very helpful. Please go through the protocol when you're ready and if you can press 'continue' once done, that would be great.",2,2,2,2
"I would appreciate if you could attempt the selected protocol now. Once you feel ready, come back and press 'continue'.",1,1,2,1
"Thank you, I see. Is it possible that you are having a hard time trying to control someone else?",2,1,1,1
"Fantastic, I am so glad to hear it. I have a protocol that might enhance this positive feeling, would you like to try it?",2,2,1,2
Are you facing any difficulties with loved ones perhaps?,0,0,1,0
"I would just like to clarify you are feeling {}, is that correct?",0,0,0,0
Have you considered all the viewpoints presented?,0,0,0,0
"I'm so sorry you're feeling this way. I know this may be difficult to talk about, but was there a specific event that caused this?",1,2,2,2
"I am sorry you are experiencing this negativity right now. If I may ask, and please be honest, would you say that you have always given full consideration to other people's viewpoints when these were presented to you?",2,1,2,2
Welcome back! How are you feeling after having taken the protocol?,2,1,2,2
Do you feel like others are responsible for your negative feelings?,0,1,0,0
"Do you think something recent caused this feeling, or was it something more distant?",1,0,1,1
Do you feel that your recent sad emotions may be attributed to attempting Protocol 6?,1,1,2,1
Thanks for your time today! Hope to hear from you soon!,1,0,0,0
"Thank you very much for sharing this with me, I know that it is not an easy thing to do. If you feel up to it, I would like to ask you some more questions so that I can get a better understanding of your situation.",2,2,2,2
Do you think someone else's problem should be your problem to solve?,0,0,0,0
Have you taken what is going on in your life and looked at it from different perspectives?,0,0,0,0
"I wonder, did trying Protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise.",1,2,2,2
Did you by any chance try Protocol 6 and if so did this trigger any negative emotions from the past?,1,1,1,1
Did this event happen recently or is it something that has been on your mind for some time?,1,0,1,1
"I really appreciate your answers to my questions so far. I am going to go through some queries I have, so that I'm fully aware of your situation.",2,1,1,1
"Were you able to attempt Protocol 6, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past?",1,1,0,1
"Do you feel isolated from those around you, or that your safety is somehow in danger?",1,0,0,0
"Thank you for staying with me on this. In the past, have you ever felt or acted on any of the following emotions towards someone:",2,1,1,1
Can you let me know if you have experienced any of the following emotions or wanted to express them towards another person:,1,0,0,0
Does your current worry revolve around someone you are trying to help?,1,0,2,1
"Was this event a long time ago, or perhaps something that happened more recently to you?",1,1,2,1
Have you tried Protocol 6 recently and did it bring back some of the tough emotions from the past?,1,0,1,1
Did you do Protocol 6 and did it make you feel worse?,1,0,0,0
"Did you attempt Protocol 6 and, if so, did you have negative thoughts about the past which caused your mind to wander in that direction?",2,1,1,1
"Do you feel, lately, like people are 'out to get you'?",0,1,0,0
Have you at any time expressed or felt any of the following emotions towards someone:,0,0,1,0
Have you felt any of these emotions strongly toward someone:,0,0,1,0
Do you feel as though others purposely behave in a way that makes you feel bad?,0,1,1,1
"Please tell me, was this caused by a specific event/s?",1,0,1,1
"Have you, by any chance, felt any of these strong feelings towards anyone recently:",1,1,2,1
"Could your current mood depend on the fact that you were unable to help a loved one, and you feel guilty because of this?",2,1,1,1
Are you having strained relations with the people in your life and that is causing you great distress?,0,1,1,1
Do you think you're feeling better or worse than before?,0,0,1,0
Do you believe it is someone else's fault that you are feeling so low?,0,1,0,0
"It's a shame that one didn't work for you, but we will find a protocol that does work. Would you like to attempt another one which hopefully will be much more helpful to you?",1,2,2,2
"Do you think there is another way that you can view this situation, and could other people's advice help you find it?",1,2,2,2
Do you consider yourself to be someone else's saviour?,0,0,1,0
"Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?",2,2,2,2
Sorry to hear you are feeling worse. Would you like to continue and do another protocol?,1,2,2,2
"Is it a controlling feeling that you're experiencing perhaps, like wanting to control a situation or person?",1,2,2,2
"When attempting to revisit your trauma, as is requested in Protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding?",1,2,2,2
"Do you, even if unfairly, tend to always blame yourself for everything bad that happens in your life?",1,1,2,1
"I really appreciate your effort, thank you for taking part. Let's talk again soon.",1,2,2,2
"I wonder if you always feel like you caused a problem, even when it is not really your fault?",2,1,1,1
Did anything happen in your personal life to cause these feelings?,0,0,1,0
I would like to better understand why you are experiencing this negative feeling right now. Do you feel that you need to save someone else?,2,1,1,1
Is there anything difficult or traumatic that you are going through right now in your personal life?,1,1,1,1
Do you listen to others?,0,0,0,0
"That's okay, thank you for letting me know. Is there anyone in particular who you are blaming for your sadness?",1,2,2,2
Wonderful! How about I reccomend a protocol to you to make sure you treasure this positive feeling?,2,1,2,2
Is this because of of something that happened?,0,0,0,0
"In all honesty, do you think that you are always available to consider alternatives to your point of view?",1,0,1,1
Would you like to try a different protocol?,0,1,0,0
"We've come to the end of the session, I'd like to thank you for taking the time to work through this with me. See you soon.",2,1,2,2
"Then I wonder if you feel that you're at fault. When something does not work out, do you tend to harshly blame and accuse yourself?",1,2,2,2
"Are you having any thoughts that you could be controlling someone else, or trying to control them?",1,0,0,0
Do you feel that everything and everyone is against you right now?,0,0,1,0
"When things go wrong for you, do you always put the blame on yourself, or do you always accuse yourself of a mistake?",1,0,1,1
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you notice that you're always blaming yourself for anything that goes wrong?",2,2,1,2
"I understand, thank you. Was this event recent or more distant?",2,1,1,1
Do you feel obligated to control other people's attitudes?,1,0,0,0
May I ask if you believe that it is your own responsibility to rescue another person from their problems?,2,1,1,1
How do you feel after taking this protocol? ,1,0,1,1
Thank you for sharing. I'd like to ask you some questions so I can understand a bit more.,0,1,1,1
Here are my suggestions. Do you want to try any of them?,0,0,1,0
Could you please express how you feel now that you've gone through this protocol?,1,2,1,1
Select 'continue' when you are ready.,0,0,0,0
"Do you see yourself as the victim, or do you blame someone else for your feelings?",1,0,0,0
"How are you feeling now you have completed the protocol, if I may ask? I hope you feel better, but it's ok if you feel worse, just tell me and I'll try to help.",2,2,2,2
"You may be experiencing a lot of strong feelings right now. Have you been feeling any of the following emotions, either on the inside or expressed them towards another person:",1,2,2,2
"I'm really pleased we managed to have this time together, I hope it helped you. You can come back whenever you feel like talking some more.",2,2,2,2
Please find my recommendations below. You can select the protocol you prefer.,1,0,0,0
I am sorry to hear you're not feeling great today. Is it something specific that has caused you to feel this way?,1,2,2,2
Do you feel that you would like to look at another protocol?,1,1,0,1
Can you tell me if this upseting event was from some time ago or it happened recently?,1,1,1,1
Do you always feel responsible for the way things turn out in your life?,0,1,0,0
I'm sorry that this protocol wasn't able to help you. Would you like to attempt another?,1,1,2,1
"Do you feel that if others changed the way they behave, it would make your life easier?",1,1,1,1
"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?",2,2,2,2
"Thank you for sharing this. Without going into too much detail, was this event recent or has been this way for a while?",1,2,2,2
"Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at Protocol 6?",1,2,2,2
"If you have to be honest with yourself, do you feel that you can, or want to, control someone?",0,1,1,1
"Based on what you've told me, I've selected some protocols that may be helpful to you. You can select the protocol you prefer and it will be displayed to you so that you can attempt it.",2,1,2,2
Did you try to complete Protocol 6 and it resulted in reawakening some bad feelings due to things that happened in the past?,1,0,1,1
"Thank you for sharing. Can you please tell me if this event that happened and caused your anxiety was in the recent or distant past? The more I understand, the more I can support you.",2,2,2,2
Do you ever worry that you might be taking your negative feelings out on someone else?,1,1,2,1
"Thank you for your answer. I would now like to ask you if you feel that you are the victim, and someone else is to blame for making you feel this way.",1,1,2,1
"Are you trying to be someone else's saviour, perhaps?",1,0,0,0
"I sympathise with the feeling of sadness you are experiencing right now. I wonder, is there someone in your life who you feel is to blame for your sadness?",2,2,2,2
"I feel that you are feeling quite {} today, is that right?",0,0,1,0
"Thanks so much for talking with me, I really hope it's done some good. I look forward to another session soon.",2,2,2,2
Do you ever find yourself blaming or controlling others around you?,1,0,1,1
Are there some things in your life right now that you are struggling with in particular?,0,0,1,0
"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you think it's always your fault when something goes wrong in your life?",2,2,2,2
"I think if we can get to the root of these feelings, we could get you feeling much better. Do you think you would like to try any of the following protocols? Have a look through and let me know if there is something you would like to try.",2,2,2,2
Many thanks for your cooperation. See you later!,1,0,0,0
That is great to hear! Would you like to try a protocol to match your mood? I hope it could inspire you and brighten your day even more.,1,2,2,2
Was Protocol 6 too difficult for you?,0,0,1,0
Did this event happen recently or a while back?,0,0,0,0
Brilliant! Can we have a look at some protocol that may be good to try right now?,1,2,1,1
"I would like to know if you think this negative feeling has created a larger problem for you. Has this feeling led to tensions between you and your loved ones, or has it triggered a personal crisis?",1,2,2,2
Do you think you should sacrifice yourself for others?,0,0,1,0
