,gender,age,emotion,base,rewriting,semantic,empathy
1299,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你会说你在和别人聊天的时候总是能考虑到别人的观点和意见吗？,10,1
1300,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我认为以下协议对您有益。您可以选择您认为此时最适合您的那个。,16,1
1301,女性,40-69,焦虑,您觉得您在试图控制某人吗？,您是否认为您正处于试图影响他人行为方式的位置？,8,1
1302,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是不幸的。你有没有尝试过协议 6，它是否引发了你对这次事件的同样困难的情绪？,2,2
1303,男性,40-69,悲伤,您觉得您在试图控制某人吗？,谢谢你的回答，我一直在这里理解和帮助你，从不评判。你有没有可能试图掌控别人的生活？,8,2
1304,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有尝试过协议 6，如果是这样，这是否会引发过去的负面情绪？,2,1
1305,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,您是否感觉或相信其他人可能伤害了您？,7,1
1306,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,这件让你感到焦虑的事情——是最近发生的还是前一段时间发生的？,1,0
1307,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,也许你会说，当出现问题时，你总是责怪自己？,9,1
1308,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,明白了，谢谢，那我再深入研究一下。在这种令人遗憾的情况下，您是否觉得自己是受害者？,7,2
1309,男性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你会说有人要为你的感受负责吗？,7,1
1310,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,也许，您现在是否觉得世界与您为敌？,7,1
1311,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,如果你能通过这个协议，我会很高兴的。完成后，您可以按“继续”。,17,1
1312,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议 11 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议 11，你能告诉我它是否因为最近的事件而导致无法控制的情绪吗？,3,2
1313,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,这真是太好了！如果您愿意，我可以建议一个协议来改善您当前的情绪。,12,1
1314,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,很高兴看到你今天如此积极。我可以推荐一个适合您当前心情的协议吗？,12,2
1315,男性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,啊，我道歉。此列表中的哪种情绪最能描述您的经历？,14,1
1316,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,你认为你有什么重要的东西可以提供给别人吗？,6,0
1317,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,非常感谢您的合作。我接下来还有几个问题可以帮助我更好地了解您的情况。,4,1
1318,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,那太棒了。您想尝试附加协议吗？,19,1
1319,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,感谢您选择与我分享您的感受。如果你觉得舒服，我可以再问你一些问题，看看我怎样才能最好地支持你吗？,4,2
1320,男性,40-69,所有情绪,感谢您的参与。再见,非常感谢您在本次会议期间的时间和合作。我期待很快的另一场会议。,15,2
1321,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,你认为拯救别人是你的责任吗？,6,0
1322,男性,18-39,焦虑,您觉得您在试图控制某人吗？,谢谢你。有人没有按照你喜欢的方式做事吗？,8,1
1323,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,引起您悲伤的事件是最近发生的事件还是不久前发生的事情？,1,1
1324,女性,18-39,焦虑,您认为您应该成为别人的救星吗？,你是否觉得你最近有一种强烈的帮助他人的愿望，你可能会过度扩展自己，以至于影响到你自己的生活？,6,1
1325,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您是否正在经历一些痛苦的事情，例如与您所爱的人闹翻？,11,1
1326,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,很好，我相信你对协议 6 很熟悉。你最近有没有尝试过协议 6，如果有，当你想到这些过去的事件时，你是否觉得这带来了一些难以处理的感觉?,2,2
1327,男性,18-39,愤怒,这是由特别事件引起的吗？,我能理解。您会说这是由特定原因引起的吗？,0,1
1328,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,请在下面找到我的建议。您可以选择您喜欢的协议，它将显示给您，以便您可以尝试。,16,1
1329,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否使用协议 11 来提供帮助并且您的情绪是否失控？,3,0
1330,男性,40-69,悲伤,您觉得您在试图控制某人吗？,在内心深处，你是否有一种想要控制另一个人的感觉？,8,1
1331,女性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,这是您目前生活中特别具有挑战性的时期吗？,11,0
1332,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一切，我想这一定很困难。我想通过更多的问题更好地了解您正在经历的事情。,4,2
1333,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,请问您是否对某人有过或表达过以下任何情绪：,5,1
1334,男性,40-69,所有情绪,感谢您的参与。再见,真的非常感谢你。我希望很快能见到你。,15,2
1335,女性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,有时我们会感到强烈的情绪，而这些情绪并不属于我们；感受它们是可以的，但值得反思它们。您认为您最近是否可能对某人表达过以下任何负面情绪：,5,2
1336,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,阅读您告诉我的内容后，我相信您会感觉到 {}，这是否足够接近？,13,1
1337,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,与人交谈时，您认为自己善于倾听和理解他们的观点吗？,10,0
1338,男性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,能否请您表达一下您在完成此协议后的感受？,18,1
1339,男性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,对不起，也许我误解了你的感受。我认为如果您能挑选出您认为最能代表您的情况的情感，那可能是最好的：,14,2
1340,女性,40-69,焦虑,您认为您应该成为别人的救星吗？,您是否认为有时您可能会觉得有必要帮助某人？,6,1
1341,男性,18-39,焦虑,这是由特别事件引起的吗？,作为你的朋友，你可以随时告诉我任何事情，我会尽我所能帮助你。你能告诉我是否发生了让你有这种感觉的事情吗？,0,2
1342,男性,18-39,所有情绪,感谢您的参与。再见,谢谢，感谢您的合作。很快再见！,15,1
1343,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您是否有时对另一个人感到或表现出以下任何特定情绪：,5,0
1344,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时会感觉到我们认为不好的情绪，但我们知道它们不好这一事实让我们意识到，所以感受这些情绪是可以的，我们总有一天会感受到它们。您是否对某人有强烈的感受或表达过以下任何一种情绪：,5,2
1345,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,这真是个好消息。如果您愿意，我们可以尝试另一种协议。,19,1
1346,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我可以问一下，想想发生的事情对你来说是不是太痛苦了？,2,1
1347,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道更多关于这件事发生的时间。是最近发生的还是不久前发生的？,1,1
1348,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉这件事发生在你身上。这是最近发生的还是不久前发生的？,1,2
1349,男性,18-39,所有情绪,感谢您的参与。再见,我非常感谢你的参与，希望我们能很快再次见面。,15,2
1350,男性,40-69,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。有什么特别让你有这种感觉的吗？,0,2
1351,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您能否告诉我，您是否在表达或强烈感受以下列出的任何情绪时遇到困难：,5,1
1352,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你现在是否因为别人而感到难过？,7,0
1353,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是你执行协议 6 的结果吗？,2,0
1354,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,你能自信地说你总是能够考虑别人的观点吗？,10,1
1355,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,在与他人交谈时，您是否觉得在形成自己的观点和意见时允许自己接受不同的观点和意见？,10,1
1356,男性,18-39,悲伤,您觉得您在试图控制某人吗？,你是否觉得你在试图压制某人？,8,0
1357,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你认为有人会对你现在的感受负责吗？,7,0
1358,女性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,很抱歉我误解了这一点。请问您从下面的列表中选择更准确地反映您的感受的情绪吗？,14,2
1359,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你认为你很容易听取与你不同的意见吗？,10,0
1360,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你认为这是别人的错，有没有人让你感觉不好？,7,0
1361,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,引起这些感觉的事件是最近发生的，还是发生在遥远的过去？,1,1
1362,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,你在这方面做得很好。接受这个协议后你感觉如何？,18,1
1363,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 11，如果你尝试过，它是否从最近的事件中带来了困难的情绪？,3,1
1364,女性,18-39,愤怒,这是由特别事件引起的吗？,感谢您与我分享您的感受，尽管现在对您来说可能很困难。你认为你的感觉可能是由某些特定的事情引起的吗？,0,2
1365,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉误解了你的感受。请告诉我您的感受，以便我更好地理解。,14,2
1366,男性,18-39,焦虑,您认为您应该成为别人的救星吗？,你觉得你对另一个人或其他人完全负责吗？,6,0
1367,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,感谢您回答这些问题，我知道这对您来说可能很困难。我现在想继续问你一些问题，以便更好地了解你此刻的感受。,4,2
1368,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢你和我在一起。过去，您是否对某人有过以下任何一种情绪或行为：,5,1
1369,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,我了解此协议可能具有挑战性，但请您尝试完成它。如果您设法完成它，请按“继续”，然后我会问您几个后续问题。,17,2
1370,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,我很高兴你发现它很有用。您想尝试其他协议吗？,19,2
1371,男性,40-69,愤怒,您觉得您在试图控制某人吗？,您是否有可能试图改变或影响他人的行为？,8,1
1372,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,当出现问题时，您可能总是认为自己有错，您认为这是真的吗？,9,1
1373,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,谢谢你，如果你同意的话，我希望我们能深入挖掘一下。当事情没有按照你想要的方式发展时，你认为你总是为此责备自己吗？,9,2
1374,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,你认为通过另一个协议会有所帮助吗？,19,0
1375,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您是否因对他人产生以下任何情绪而烦恼：,5,0
1376,女性,40-69,悲伤,您觉得您在试图控制某人吗？,我明白了，也许你的悲伤可能是因为无法从别人那里得到你需要或期望的东西。可能是您试图控制某人但无法控制，这让您感到沮丧？,8,2
1377,女性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 11 并发现您发现的情绪难以处理？,3,1
1378,女性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,感谢你的分享。我相信您是 {}，我这样说是否正确？,13,1
1379,女性,18-39,愤怒,这是由特别事件引起的吗？,明白了，谢谢分享有没有发生什么让你有这种感觉的具体事情？,0,1
1380,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我知道谈论这些事情可能很难，所以谢谢你对我敞开心扉。你想告诉我更多关于这件事是什么时候发生的，是最近发生的事情还是过去发生的事情？,1,2
1381,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 6 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 6，它是否让您感到任何负面情绪？,2,2
1382,男性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果您尝试过协议 6，结果如何，是否勾起了不好的回忆？,2,1
1383,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你的诚实，我知道这可能很困难。我只是要问几个问题，以便更好地了解您的具体情况。,4,2
1384,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,对不起。请告诉我你的真实感受。,14,1
1385,男性,18-39,愤怒,您觉得您在试图控制某人吗？,你认为你现在可以试图控制别人吗？,8,0
1386,男性,18-39,愤怒,这是由特别事件引起的吗？,你觉得这可能是单一事件的结果吗？,0,1
1387,女性,18-39,焦虑,您觉得您在试图控制某人吗？,您是否认为您可能会试图控制另一个人，无论您是否有意？,8,1
1388,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你认为从另一个人的角度看事情对你有帮助吗？,10,0
1389,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 11 并且可能发现这并没有像您希望的那样有帮助？,3,2
1390,女性,18-39,愤怒,您觉得您在试图控制某人吗？,您认为您可能对其他人表现出控制性行为吗？,8,1
1391,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,该协议是否改变了您的感受，无论是好是坏？,18,1
1392,男性,40-69,所有情绪,感谢您的参与。再见,非常感谢与我交谈，我真的希望它做得很好。真的希望很快能再见到你！,15,2
1393,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,你是否试图以牺牲自己的幸福为代价来帮助别人？,6,1
1394,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你能告诉我在尝试协议 11 重新审视最近发生的事件后，你是否开始有这种感觉？,3,1
1395,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您现在是否有可能正在经历一些特别困难的事情，这对您的生活产生了灾难性的影响？,11,1
1396,男性,40-69,悲伤,您认为您应该成为别人的救星吗？,您是否经常发现自己扮演了一个好撒玛利亚人的角色，您正在努力帮助甚至纠正他人为自己的利益？,6,1
1397,女性,18-39,悲伤,这是由特别事件引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0,2
1398,男性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,当按照协议 11 的要求尝试重新审视您的创伤时，您是否发现自己情绪不舒服并且难以继续？,3,1
1399,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,谢谢你。我想知道您是否因为与朋友或家人的问题而正在经历特别困难的时刻。,11,2
1400,女性,40-69,愤怒,这是由特别事件引起的吗？,谢谢你，我明白现在处理这种感觉有多难，希望我能帮助你感觉更好。你能告诉我是否有特定的事件让你有这种感觉吗？,0,2
1401,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,当事情出错时，你是否总是认为自己是罪魁祸首？,9,0
1402,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您最近是否经历过以下情绪：,5,0
1403,女性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,在您的个人生活中是否有任何事情让您感到困难？,11,0
1404,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,非常好。如您所知，列表中还有更多协议，您是否认为您可能想尝试其他协议，看看情况如何？,19,2
1405,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,会不会是你总是对自己太苛刻？,9,1
1406,男性,18-39,愤怒,您觉得您在试图控制某人吗？,当您生气时，您是否经常发现自己试图控制他人？,8,0
1407,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,你认为自己是一个思想开放、喜欢听别人意见的人吗？,10,0
1408,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,是否有可能因为无法拯救生活中需要拯救的人而导致您的悲伤？,6,1
1409,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉听到我误解了。请用您自己的话说，您能具体说明您的感受吗？,14,2
1410,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,听你说，你好像感觉{}，我理解正确吗？,13,1
1411,女性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,哦不，我很抱歉。如果您不介意，请从此列表中选择您的感受：,14,2
1412,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,请试着坦率地看待你现在的情绪状态。您是否认为您最近可能强烈感受到以下任何一种情绪：,5,2
1413,男性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,说您目前在个人生活中遇到困难的情况是否准确，例如与亲人或朋友的关系？,11,1
1414,女性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个。有没有发生过让你有这种感觉的事情？,0,2
1415,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,重温过去的负面事件会让您感到非常不舒服吗？,2,1
1416,男性,18-39,所有情绪,感谢您的参与。再见,感谢您今天的耐心等待。再见！,15,1
1417,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您如此耐心和合作。如果你不介意，我希望你告诉我你是否觉得你此刻正在挣扎。,11,2
1418,女性,18-39,焦虑,您认为您应该成为别人的救星吗？,你认为自己是一个把别人的需要放在自己之前的人吗？,6,0
1419,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,您是否曾向其他人感受或表达过以下任何情绪：,5,0
1420,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,谢谢你让我知道。你会不会说你很容易自责，经常因为出了问题而责备自己？,9,2
1421,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你会因为你正在处理的这种负面情绪而责怪别人吗？,7,1
1422,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白你为什么会感到焦虑。你认为尝试协议 6 会重新点燃这些难以控制的情绪吗？,2,1
1423,男性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,也许你的压力源于你个人正在经历的一些困难。您在与亲人或朋友相处时遇到任何困难吗？,11,2
1424,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,这真的很有帮助，谢谢。据您所知，执行协议 11 是否让您感到生气或不安？,3,2
1425,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,当发生让你生气的事情时，你有没有想过替别人着想？,10,0
1426,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你是否觉得有人对你的负面情绪负有部分责任？,7,1
1427,女性,18-39,所有情绪,感谢您的参与。再见,谢谢你今天的时间。我希望你能回来多聊几句。,15,1
1428,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,在您与他人的其他对话中，您是否充分考虑了他们试图提出的观点？,10,1
1429,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,在过去的谈话中，你真的努力去了解别人的观点吗？,10,0
1430,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议 11 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 11，如果是，它是否激起了困难或创伤性的情绪？,3,2
1431,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我与您的情绪保持一致，我们将了解如何克服它。我想再问你一些问题，以更好地理解你为什么会有这种感觉。,4,2
1432,女性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,您认为您最近是否有过以下情绪：,5,0
1433,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,我想如果我们能找到这些感觉的根源，我们会让你感觉好很多。您认为您想尝试以下任何协议吗？看一看，让我知道您是否想尝试一些东西。,16,2
1434,女性,18-39,所有情绪,感谢您的参与。再见,谢谢你今天和我分享。想谈什么就回来找我。,15,1
1435,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您对我敞开心扉，我理解这可能很困难，我感谢您的诚实。我想再问你几个问题，以便我可以更好地帮助你，如果你没问题的话。,4,2
1436,女性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,你有没有花时间考虑过你的观点之外的其他观点？,10,0
1437,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,那太棒了！您想采用另一种协议吗？,19,1
1438,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您最近是否与朋友或亲人发生了个人问题，也许是闹翻了，或者您有家庭问题吗？,11,1
1439,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,也许你想成为别人的救星？,6,1
1440,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,那太棒了！如果你想听一听，我仍然可以推荐一个可以帮助建立这种良好感觉的协议。,12,2
1441,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你有没有考虑过在之前的谈话中呈现给你的其他观点？,10,0
1442,男性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,谢谢你和我分享你的感受。为了了解您的情况，我现在想征得您的同意，问您一些问题。,4,2
1443,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,最近有没有强烈地感受到或向任何人表达过这些情绪中的任何一种：,5,0
1444,女性,40-69,悲伤,您觉得您在试图控制某人吗？,如果我问，你认为自己是那种总想掌权的人吗？,8,1
1445,女性,18-39,焦虑,这是由特别事件引起的吗？,有没有发生在你身上的事情让你有这种感觉？,0,1
1446,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,你能告诉我你是否想拯救别人、朋友或所爱的人吗？,6,1
1447,男性,18-39,所有情绪,感谢您的参与。再见,我要真诚地感谢您参与其中。我希望很快能见到你！,15,2
1448,男性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,谢谢，我明白了。在您看来，您是否认为自己会因为自己的感受而责怪他人？,7,1
1449,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道你过去发生的事情会带来强烈的情绪。是否因为尝试执行协议 6 而重新点燃了这些感觉？,2,1
1450,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你是否总是为发生在你身上的坏事而生自己的气？,9,0
1451,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,如果您现在可以尝试选择的协议，我将不胜感激。准备好后，返回并按“继续”。,17,1
1452,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你觉得有人正在或试图伤害你吗？,7,0
1453,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,我知道这对您来说可能很难讨论，但您的信息非常有用，谢谢。如果我继续问你一些问题，以便我更清楚地了解你的情况，可以吗？,4,2
1454,男性,40-69,焦虑,这是由特别事件引起的吗？,哦，很遗憾听到你感到焦虑。这种感觉是由你无法控制的事情引起的吗？,0,2
1455,女性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,我想说您现在感觉{}，您认为这是对您当前心情的合理描述吗？,13,1
1456,女性,40-69,焦虑,您觉得您在试图控制某人吗？,你是否认为也许你是在试图强迫别人？,8,1
1457,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议 6 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议 6，你能告诉我它是否会因为旧的事件而导致无法控制的情绪吗？,2,2
1458,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,如果出现问题，您是否总是觉得责备和指责总是落在自己身上？,9,1
1459,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我想知道您是否强烈感受到或表达了以下任何情绪：,5,0
1460,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,你相信你有能力在任何时候拯救每一个人吗？,6,0
1461,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,那太棒了。如果您有兴趣，我还有一些协议也应该有所帮助？,19,1
1462,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否通过协议 6 重新审视了这个事件，并发现它带回了焦虑的感觉和情绪？,2,1
1463,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感到焦虑和完全可以理解是可以的。我只需要知道您最近是否试图回忆过去的事件并发现它令人痛苦？,2,1
1464,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,在之前的谈话中，你是否觉得自己一直能够考虑不同的观点？,10,0
1465,女性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,你会说你一般都会听别人的意见吗？,10,1
1466,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您是否感觉到或与其他人谈论过以下任何情绪：,5,0
1467,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉造成误解。请从下面反映您感受的情绪中选择一种来纠正我：,14,2
1468,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,谢谢你。根据您所说的，我会说您感觉{}，我的假设是否正确？,13,1
1469,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,你是否对别人有以下感觉：,5,0
1470,男性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,对不起，也许我不是最擅长阅读人的。如果你不介意我问一下，你今天感觉如何，你能从下面的列表中选择你觉得最接近你当前心情的吗？,14,2
1471,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,我们可以尝试其他协议。你愿意接受吗？,19,1
1472,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,很好，我很高兴它正在工作。我们要不要试试另一个？,19,2
1473,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你。现在我想再问你一些问题，以便更好地了解你的情况。,4,1
1474,男性,18-39,焦虑,您觉得您在试图控制某人吗？,你是否觉得你可能被视为控制欲强，甚至令人生畏？,8,1
1475,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,你觉得你想看看另一个协议吗？,19,0
1476,男性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你认为自己是一个愿意听取别人意见的人吗？,10,0
