Sex,Age,Sad - Patient response 1,Sad - Patient response 2,Sad - Patient response 3,Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Patient response 1,Angry - Patient response 2,Angry - Patient response 3,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Patient response 1,Anxious - Patient response 2,Anxious - Patient response 3,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - Patient response 1,Happy - Patient response 2,Happy - Patient response 3,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am feeling pretty anxious, I'm waiting to hear back about that work project","I'm actually feeling pretty worried about that result, I'm afraid to ask any more questions","Not great actually, feeling a bit anxious about this",I'm sorry to hear that. Has something happened to make you feel like that?,That's tough. Was that recent or did it happen a while ago? Either way your feelings are completely valid.,"I wonder, do you think trying protocol 6 to revisit the event, if you have done so, may have contributed to this feeling?","I wonder, do you think trying protocol 11 to revisit the event, if you have done so, may have contributed to this feeling?",I appreciate that you felt comfortable enough to share that with me. Do you feel up to sharing some more so I can help?,Do you think that perhaps you have felt any of these emotions recently:,,,,,,,I'm good thanks!,"Feeling great today, slept well!",Doing well thank you,,,,,I have some options here that may help. Please choose a protocol that you would like to view now.,"Take your time reading through to understand, and try to go through the whole thing if you can. Just hit the 'continue' button when you are done.",Do you feel better or worse?,That's good to hear. Would doing some more help?,I'm sorry to hear that. Should we perhaps try another?
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling nervous as my exam is tomorrow,I am feeling worried because I didn't do my homework,I am feeling frightened as I am not sure what career I want in the future,"As your friend, you can always tell me anything and I will try to assist you to the best of my abilities. Can you tell me if something happened that made you feel like this? ","I understand. Can you tell me the timing of this event so I can further understand what is making you anxious, was it recent or distant?","I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?","I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?","Thank you, the state of your wellbeing is very important to me. I will now ask questions about yourself in hopes to alleviate this distress.",I understand that you are going through a difficult moment and I believe that diving into the nature of these emotions will help me understand the best approach to take in order to help get rid of your distress. Have you ever felt or expressed any of the following emotions towards a person or people:,,,,,,,I am feeling quite good as I have just found out I passed my exam,I am feeling happy because I got into my dream university,I am feeling content as my football team won the world cup,,,,,"I'll give you some protocol recommendations, but the decision must come from you as you best understand yourself. Could you select the protocol that you think is best suited to you?","I advise you to attempt this protocol now, it may be difficult but just try your best and it will be fine. After you complete the protocol, press the 'continue' button and then we can talk about it a bit, if you like.","I understand that doing the protocol may have been difficult and demanding. How do you feel now, would you say you feel better or worse?",Thats great news! Would you like to attempt a different protocol?,"Ok, thats unfortunate, I apologise. There are many different protocols to choose from, so would you like to attempt another protocol?"
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To be honest, I'm feeling really worried about things.",It feels like life is a bit overwhelming at the moment.,I can't help feeling frightened all the time.,I understand that you are feeling anxious. Please could you tell me a little more about this? Is the anxiety due to a specific event or events?,I see. And would you mind telling me whether this happened recently or in the past?,"As you may know, protocol 6 can be used to examine events like these. Have you had any experience with protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?","As you may know, protocol 11 can be used to examine events like these. Have you had any experience with protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?","Thank you very much for sharing this with me, I know that it is not an easy thing to do. If you feel up to it, I would like to ask you some more questions so that I can get a better understanding of your situation.","You've shared with me that you have been feeling anxious, and I would now like to ask about your emotional state more in general. How about the following emotions, have you ever strongly felt any of these or expressed them towards someone else:",,,,,,,I feel as if all is right with the world.,Not too bad at all.,Everything is going well for me.,,,,,"Based on what you have shared with me, I feel that these recommendations would be appropriate for you. Please could you let me know which of these protocols you would like to try?","Thank you for making your choice, you should be able to see the protocol now; please see how you get on with it. You can press 'continue' once you have finished.",Thank you for completing the protocol. Would you say you are feeling better or worse than before?,That's good to hear. Would you like to give another protocol a try?,I'm very sorry to hear that. Would you like to give another protocol a try?
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't know, why are you asking me? Who asked you to ask me?","Ummm not great, ummm I am really worried about what is hapening, I haven't slept all week.","I'm not having a good day, can you help me? Please, help me, will you help me?","I hear how you are feeling. In order to support you, can you tell me if there is one specific event that has caused how you are feeling?","OK, thank you. Can you let me know is this something that has happened recently, or was it a while ago?","Have you recently revisited the trauma of this event through protocol 6, and is this why you are now feeling anxious?","Have you recently revisited the trauma of this event through protocol 11, and is this why you are now feeling anxious?","Thank you, you have been really brave in sharing so far. I want to see if I can support you by understanding how you are feeling and the causes of those feelings by asking you a few more questions, is that OK with you?","In order to help you, could you please indicate if you have felt any of the following emotions towards someone else:",,,,,,,Brilliant! I am having the best day!!,"All good thanks, no complaints!","Yep, doing ok thank you.",,,,,"So, based on what we have discussed, I have the following recommendations for you to choose from. Please select the protocol that you would like to attempt now.","Thank you. Now I'd like you to read through and follow the protocol, and press 'continue' when you have finished.","Thank you and welcome back. Now that you have finished, how do you feel?",That's very positive. Would you like to try another one?,"Ok, I hear how you are feeling. Could I make a different recommendation for you to try?"
Male,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling very anxious and not at all well.,I am feeling really low and quite frightened actually.,My mental health is not at all good today,"I understand that you may be feeling anxious, I would like to help you if you could could give me some more details. Do think this could be linked with any particular event?","Thank you, it may help me to know when this occurred . Would you be able to tell me, was this a recent or distant event?","Sometimes it can help to address anxiety which is linked with a traumatic event from the past through protocol 6. Have you already tried protocol 6, and if so have you actually found that the emotions it brought back were too intense?","Sometimes it can help to address anxiety which is linked with a traumatic event from the past through protocol 11. Have you already tried protocol 11, and if so have you actually found that the emotions it brought back were too intense?","I know this may be hard for you to discuss but your information has been very useful, thank you. Is it OK if I continue to ask you some more questions so I can get a clearer understanding of your situation?",I am going to give you a list of emotions. I would like you to consider them and then tell me if you have strongly felt any of them or expressed any of them towards someone in particular:,,,,,,,I feel really great actually.,I feel really positive,I feel on top of the world,,,,,Following our discussion I have made a list of the protocols I would like to recommend to you. Would you be happy to look at them and select a protocol which you would maybe consider attempting?,"Thank you for choosing this protocol. Would you be happy to attempt this protocol now and when you have finished, please could you press the 'continue' button.","Thank you very much for taking this protocol. What are your initial feelings now you have finished, do you feel better or worse?","I am really glad this protocol has made you feel better. Do you think it would be helpful if you were to attempt another protocol? If so, would you like to try another one now?","I am sorry this has not made you feel better, somtimes it may be necessary to try different protocols before feeling better. Would you like to attempt another one which hopefully will be much more helpful to you?"
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am sorry to hear this. Is there a specific event that may have caused you to feel this way?,"Thank you for sharing this. Without going into too much detail, was this event recent or has been this way for a while?",Have you recently revisited this event through protocol 6 and found that it brought back anxious feelings and emotions?,Have you recently revisited this event through protocol 11 and found that it brought back anxious feelings and emotions?,"Thank you for sharing these details, I know this must be difficult for you. Now I'd like to ask some questions to better understand your situation.","I understand you are feeling anxious. In addition to this feeling, have you recently also felt any of the  following emotions towards someone:",,,,,,,Absolutely brilliant!,Amazing thank you for asking!,Im feeling really good and hopeful.,,,,,"I have a few recommended protocols that you could try. Is there any you would like to attempt now? If so, please select it.","Thank you, now could you try going through the protocol you've selected. When you have finished, I'd be grateful if you could come back to me and press 'continue'.","How are you now feeling after this protocol, are you feeling better or worse?","Thats brilliant news. If you would like, we could try another protocol.","I'm sorry to hear that. There are other protocols we could try, if you would like to attempt another?"
Female,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Im feeling on edge today. I have a big test and im worried I wont pass.,Im supposed to be going out with friends but I feel too nervous. I dont like being in big groups of people,Today my heart feels like it is racing. Im not feeling good and I think I just need to be alone.,"It's completely normal to feel how you are feeling, I understand and I'd like to help. Do you think this was caused by anything specific?",Im sorry that this happened to you. Did this happen recently or a while ago?,It's okay to feel anxious and completely understandable. I just need to know if you have recently attempted to remember this past event and found it distressing?,Its okay to feel anxious and completely understandable. I just need to know if you have recently attempted to remember this past event and found it distressing?,"You're doing really well, I want to help you feel better and try and understand your situation. Is it okay to ask some more questions?","I completely understand how you are feeling and it must be so hard. If I may ask, do you feel you have expressed any of these emotions to someone:",,,,,,,I'm great! It's a beautiful day!,I feel so happy. I have everything I want in life right now.,Im in such a good mood. I feel so lucky today,,,,,"I think you could benefit from going through any of these protocols, to make you feel like your best self. Please let me know which one you would like to attempt.","I think this will be good for you, and I'm here to help. Please try to go through this now and when you finish, press 'continue'.",You've done so well with this. How to you feel after taking this protocol?,"I'm so glad you're feeling better, I think this is great! Would you like to try another protocol?",I'm sorry you are feeling worse. Maybe we should sit down together and try another protocol that might be more beneficial to you?
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling very on edge today.,"I am not feeling relaxed today, quite jittery.",I am feeling on edge today and not comfortable in my skin.,Has your current anxiety been caused by something in particular that you are aware of?,I see. Could you tell me if the cause of this anxiety is something that happened some time ago or if it happened in recently?,"Have you taken protocol 6 recently, and felt that this triggered a feeling of anxiety?","Have you taken protocol 11 recently, and felt that this triggered a feeling of anxiety?",I really appreciate your answers to my questions to date. I am going to run through some queries I have to be fully aware of your situation.,Lately has your anxiety led to you have any of the following unwelcome emotions toward anyone else:,,,,,,,I am feeling relaxed and at ease today,I am feeling in control and at peace today,I am feeling contented and pleased today,,,,,I am going to give you some suggestions now. I would be happy for you to decide which protocol you would like to work with.,"When you are ready I would like you to read and attempt the protocol. Once you are comfortable with this, feel free to select 'continue'.","How are you feeling now after following the protocol, has your mood improved or are you feeling less at ease?","Very good. As you have implied you are feeling in a better mood, would you like to proceed with another protocol?","That's not good, but we can still fix it. As you have suggested you are not feeling any better after that protocol, would you like to try a different one and see how that goes?"
Male,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I've been better. I'm waiting for my test results and I'm nervous about the result.,I don't feel too good. My mum went into hospital yesterday and I'm waiting for a call to tell me what is happening.,I'm stressed out and anxious about the political situation here.,I'm sorry to hear that. Is there anything in particular that made you feel like this?,"Do you mind telling me when this happened, was it recent or distant?",Sometimes people can be adversely affected when trying protocol 6. Have you tried using protocol 6 recently and found the experience distressing?,Sometimes people can be adversely affected when trying protocol 11. Have you tried using protocol 6 recently and found the experience distressing?,"Thank you. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you mind if I ask you a few more questions?","We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Do you think that you have strongly felt or expressed any of these emotions towards someone:",,,,,,,Great! My lottery numbers came up last night and I'm quitting my job.,I'm so relieved. My test results came back yesterday and I'm all clear.,I'm fine thanks.,,,,,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Please tell me which protocol you would like us to try.","It may be helpful for you to try to go through this protocol now,  If you can please give it a try. Once you have finished, all you need to do is press 'continue'.",I hope that the protocol helped. Do you feel any better or worse?,I am glad that it has helped. Do you think you might like to do another protocol?,I am sorry to hear that. Would you like to try a different protocol?
Female,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm feeling very nervous about going to the dentist this afternoon!,"I'm feeling anxious, my exam results are out tomorrow and I may not have achieved what I'd hoped for.","I'm feeling awful, my best friend has been given some worrying health news!",I can see you're feeling anxious. Has something happened that has you feeling this way?,Did this happen recently or was it some time ago?,Have you recently tried protocol 6 and found the emotions you uncovered hard to handle?,Have you recently tried protocol 11 and found the emotions you uncovered hard to handle?,Thank you for sharing all that with me. If you don't mind I'm now going to ask you a few questions so I can further understand your situation.,Could you tell me if you have ever felt or shown strongly these emotions towards anyone else:,,,,,,,I'm feeling great!,I'm feeling on top of the world!,I'm feeling super!,,,,,Here's what I recommend. Please feel free to choose the protocol that you'd like to try.,"Great, why don't you have a go at going through this protocol now. When you're finished, please press ""continue"".","Having done the protocol, can you tell me if you're feeling better or worse?","That's great, I'm glad it's helped. Would you like to try another protocol?",I'm sorry that hasn't helped. Would you like to try another protocol?
Male,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm feeling nervous about starting my new job. I'm not sure if I will fit in,I'm worried about my performance review and if I have done enough to get my promotion.,"I'm scared that I will make a fool of myself at my meeting, I hate public speaking.",I understand that feelings of anxiety can be terrible. Is there something in particular that is making you feel this way?,Are these feelings being caused by a recent event or have you felt this way before due to a more distant event?,I understand that events in your past can bring up strong emotions. Have these feelings been reignited because of an attempt at protocol 6?,I understand that events in your past can bring up strong emotions. Have these feelings been reignited because of an attempt at protocol 11?,"Thank you for sharing your feelings with me. To understand your situation I would now like, with your permission, to ask you some questions.","Do you feel these feelings of anxiety could be caused by any other emotions towards someone, for example:",,,,,,,"I'm feeling great, things are fantastic at work!","Things are good, the new house looks fantastic!","I'm fine, everything is good for the most part.",,,,,I have some recommendations for protocols that could help your situation. Would you like to choose which you feel would be the best fit for you?,"I understand that this protocol may be challenging but could you please try to complete it. If you manage to complete it, press 'continue' and I'll ask you a few follow-up questions.","Thank you, I know that might have been demanding. Has the protocol made you feel better or worse than before?",That's fantastic! Would you feel comfortable attempting another protocol?,I'm very sorry to hear that. Would you be up to attempting another protocol?
Male,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm feeling really on edge today, i just can't seem to shake this feeling of dread",I don't feel great. I'm feeling stressed and I'm worried because I don't know why I feel like this.,My mood is really low today and I'm scared It won't get better.,I understand you're not feeling the best at the moment. Do you think the way you're feeling is related any particular incident?,"I know it can be hard to talk about these things, so thank you for opening up to me. Do you want to tell me a little more about when this incident happened, was it a recent incident or something in the past?","In some cases protocol 6 can be useful to look back at a particularly traumatic event, but this can sometimes trigger a troublesome emotional response. Have you used protocol 6 before, and did it cause you to have any unmanageable emotions?","In some cases protocol 11 can be useful to look back at a particularly traumatic event, but this can sometimes trigger a troublesome emotional response. Have you used protocol 11 before, and did it cause you to have any unmanageable emotions?","Thank you for sharing, I know it can be difficult sometimes. Can we talk a little bit more about your current personal circumstances?",When we don't feel ourselves sometimes we can take it out on the people around us. Have you intensely felt or expressed any of the following emotions towards anyone in your life:,,,,,,,I'm feeling great. No complaints,I feel fantastic,I've never been happier,,,,,"Now that we have all the relevant information, I would like to suggest some protocols to you that I think would have a positive impact. You can choose whichever protocol resonates with you the most.","Great, now I would like you to try to complete this protocol. Take your time and when you get to the end just press 'continue'.",Now that you've finished let's talk about how you're feeling now. Do you feel more positive or less positive?,"Great, this is a step in the right direction. I think it would be a good Idea to try another protocol, what do you think?","Don't worry if you're feeling worse, that can happen but we can still fix it. Shall we try a different protocol and see how you feel after that?"
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not great today, anxious",I'm feeling worried,why are you asking,I hear that you are feeling anxious. Is there anything that has happened that might be causing you to feel this way?,"I'm sorry to hear that, I hope you don't mind sharing with me when it happened. Was it recent or distant?",I wonder if something may have reignited this feeling now. Have you tried to remember or revist this event and felt anxious as a result?,I wonder if something may have reignited this feeling now. Have you tried to remember or revist this event and felt anxious as a result?,Thank you for sharing. I'd like to ask you some questions so I can understand a bit more.,Could you share with me whether you have strongly felt any of the following emotions:,,,,,,,I'm feeling good thanks!,Great!,Really good thanks,,,,,I've got a few recommendations that might be useful to you. Can you let me know which protocol you'd like to try?,"Great, could you please give this a go now? You just need to remember to press 'continue' when you finish.","I'd like to ask you about how that went. Has it made you feel any better, or has it had the opposite effect?",Would you like to see if any of the others are just as helpful?,Would you like to try something different that might be a better fit?
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm feeling anxious today.,"I'm not feeling good, I'm worried about a job interview.",I'm afraid that something bad is going to happen to me.,"I'm so sorry you're feeling this way. I know this may be difficult to talk about, but was there a specific event that caused this?","Did it happen recently, or is this a past event that's still affecting you?",Revisiting traumatic events by attempting protocol 6 can bring up negative and unmanageable emotions. Have you attempted to revisit the event by taking protocol 6 and felt bad as a result?,Revisiting traumatic events by attempting protocol 11 can bring up negative and unmanageable emotions. Have you attempted to revisit the event by taking protocol 11 and felt bad as a result?,"Thank you for sharing with me, you're doing well. Do you mind if I ask you some more questions so that I can understand your situation better?","Feeling strong emotions towards others is quite normal, I'm not here to judge you for it. Have you felt or expressed any of the following emotions towards others:",,,,,,,"I'm feeling good, thanks!","I'm having a good day, no complaints here.","I'm doing well, I'm in a pretty good mood.",,,,,I'd like to recommended some protocols that I think will be well suited to your situation. Please select the  protocol you'd like to attempt.,"Please begin this protocol when you're ready. When you're finished, press 'continue'.","How do you feel after completing this protocol, better or worse?",I'm glad the protocol was able to help. Would you like to attempt another?,I'm sorry that this protocol wasn't able to help you. Would you like to attempt another?
Female,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not coping so well today,I feel afraid for my safety,I feel very worried about our future,Is there anything in particular that you can recall that may be contributing to you feeling that way?,Was this event a long time ago? Or perhaps something that happened more recently to you?,"Have you attempted protocol 6 to think back to this event, and if you have, was it emotionally draining to remember the event?","Have you attempted protocol 11 to think back to this avent, and if you have, was it emotionally draining to remember the event?","Your responses have been so helpful to my understanding. I would like very much though to understand more, so I have a few more questions if that's ok with you?",Have you strongly felt or expressed any of the following emotions towards someone else that you are aware of:,,,,,,,Pretty good,Today is a good day,I'm fine,,,,,"There are a number of options that you can choose to have a go with, so I have more than one recommendation. Perhaps you could select a protocol that you feel like working with now.","Now that you have made your choice, please follow the protocol and I hope you'll enjoy it. Once you have worked through it, you will want to press the 'continue' button.",Thank you. It would be very helpful if you could indicate whether this activity has made you feel better or worse than you did before starting.,"That's really good, well done. You have an option to select another protocol to work through, if you would like to.","Sorry to hear it, well done for getting through it. If you would like to try another protocol to see if this suits you better, there are other options for you."
Male,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling uncertain and fearful.,I am not feeling very confident about today and have a feeling that something bad will happen.,"I have to go for Covid testing as I am experiencing symptoms, and I am scared I might be positive.","Oh no, sorry to hear it. Is it something that has happened that triggered these feelings?","The cause of this anxiety, is it perhaps something that has happened in the past few days or does it feel more distant?","By any chance, was a recent attempt at protocol 6 the trigger of these feelings, if I may ask?","By any chance, was a recent attempt at protocol 11 the trigger of these feelings, if I may ask?",I am glad you were able to open up to me. I hope we could delve in further to this matter.,Other than what you've mentioned are any of these feelings also involved in what you've been experiencing recently:,,,,,,,I am feeling alive and blessed.,I am positive and grateful.,I have a gay feeling and I am overjoyed by all I have.,,,,,I have a few options for you. Please tell me which protocol you think would be best for you.,That's great. Could you please follow this protocol now and hit 'continue' when you're done.,Could you please express how you feel now that you've gone through this protocol?,"Nice, I'm really glad! Would you be willing to try another protocol as well?",Would you be willing to try another protocol that might work better?
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm feeling a bit shaky.,Things are weighing me down.,"I'm pretty ok, just a bit anxious.",That can be rough. Do you think it might be linked to something that's happened?,"Ah, I see. Is this something that's happened recently or a while ago?","Sometimes bad feelings may come back because something happens to bring them up again. Have you tried protocol 6 recently, and had trouble distancing yourself from the negative feelings that arose thinking about the past?","Sometimes bad feelings may come back because something happens to bring them up again. Have you tried protocol 11 recently, and had trouble distancing yourself from the negative feelings that arose thinking about the past?","I'm so glad you shared that with me, it really helps me understand better. I'd like to ask some more questions now to carry on that journey.","Feeling anxious can be mixed up with other emotions too, and I'd like to see if you recognise any of the ones in this list, or if they seem familiar to you. Have you experienced any of the following emotions strongly before:",,,,,,,Pretty good.,"Everything feels smooth and happy, thanks!",I'm great thanks!,,,,,"So I have some protocols to suggest that I think will work well for you; there are a few recommendations here, so take a look. Which protocol do you think would be a good fit for you?",Thank you. Have a go at working through this protocol now and we'll see if it helps. Press 'continue' when you are finished and we will talk some more.,"Thanks for doing that. Has it made a difference, and if so do you feel better now, or worse?",That's a good start. Would you like to continue with another of the protocols I suggested?,"I'm sorry it wasn't a good fit right now, we might have to try a few ideas before we find our way. Are you ready to try another now?"
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am not feeling great, I have been working too hard lately with little time for self care.",I am feeling anxious today. My to-do list seems to get longer the harder and longer I work.,I feel fearful. I am not in great health and I'm afraid of getting Covid-19.,I'm sorry to hear you are feeling anxious. Did something happen to trigger these anxious feelings?,"Would you like to tell me what event triggered these feelings, was it a recent one or a distant one in the past?","Thank you for sharing this with me. Can I ask, have you discussed this past event recently or attempted to relive it and may that have caused you some discomfort or brought up some negative emotions?","Thank you for sharing this with me. Can I ask, have you discussed this past event recently or attempted to relive it and may that have caused you some discomfort or brought up some negative emotions?","I really appreciate you sharing your feelings with me. If you feel comfortable to continue, I would like to ask you some questions to understand your situation a little more.",Have you expressed or felt any of these negative emotions towards yourself or others in the past:,,,,,,,I'm feeling great. I have just returned from a mini break.,All is good. I have had a lovely day walking in the mountains.,I feel good. I'm reading a good book at the moment.,,,,,The following protocols I feel would be of benefit to you. You can select the one you think suits you best at this moment.,"Please try the protocol now. When you are happy to proceed with our conversation, please press 'continue'.",,Great! Do you feel like attempting another protocol?,"I am sorry to hear that you feel worse. Do you feel like attempting another protocol, perhaps?"
Male,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not great, feeling a bit on edge honestly",Just worried about the next few days,"I've got a lot on my mind at the moment, it's making me anxious",That's unfortunate. Did anything in particular happen to make you feel this way?,Did this thing happen recently or is it something in the past?,Have you already tried revisiting this event only to find doing so brought back strong negative emotions?,Have you already tried revisiting this event only to find doing so brought back strong negative emotions?,"Thank you for sharing this with me, I understand things like this can be difficult to open up about. I want to help, and in order to do so, I'll need to ask some questions about your situation.","Thank you for staying with me on this. In the past, have you ever felt or acted on any of the following emotions towards someone:",,,,,,,"Pretty good, things are going well",I'm doing well,I feel happy right now,,,,,"In light of what you've told me, here are some protocols that we can try. Please select any that you feel like going through now.","Alright, let's try this out. When you're done, please press 'continue'.","How do you feel now after going through the protocol, better or worse?","Great, happy to hear that! Do you want to try another protocol?",I'm sorry to hear that. Do you want to try a different protocol to see if it works better?
Female,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not feeling my best today. I'm quite anxious and not sure why.,I'm really scared as I have a dental appointment later.,I'm feeling dreadful today. I am so afraid of losing my job.,Is there something in particular that is causing you to feel this way?,Is this something that has happened more recently or in the past?,I can see why you may be feeling anxious. Do you think attempting protocol 6 could have reignited these unmanageable emotions?,I can see why you may be feeling anxious. Do you think attempting protocol 11 could have reignited these unmanageable emotions?,"I'd really like to help. If you don't mind, I'd like to ask some further questions.",Do you remember if you have strongly felt or expressed any of the following emotions recently toward someone:,,,,,,,I'm feeling wonderful thank you.,Life is great!,I am feeling so happy and content with my new partner.,,,,,Here are some protocol suggestions that you could try today. I'd like you to choose the protocol you would like to attempt.,"Please go through the protocol, taking your time. Once you have finished, press 'continue'.","How are you feeling now you have completed the protocol, if I may ask? I hope you feel better, but it's ok if you feel worse, just tell me and I'll try to help.",That is nice to hear. Would you like to try another protocol while you're feeling better?,"That is not ideal, but please do not give up, it is normal that some protocols can stir up some negative feelings sometimes. Would you like to attempt another protocol at this time?"
Female,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My anxiety is through the roof.,I'm really wound-up today.,My nerves are shot.,"If you feel comfortable sharing, could you tell me if that feeling comes from something specific that happened?","Is this something that happened recently, or something from the past that's still on your mind?",Have you recently tried protocol 6 and found that it brought all those bad feelings back?,Have you recently tried protocol 11 and found that it brought all those bad feelings back?,"Thank you for sharing, I know that can't have been easy for you. If it's OK, I'd like to talk about your situation a bit more so I can understand where you're coming from.","I expect you have a lot of strong feelings as a result of your situation. Have you been feeling any of the following emotions, either on the inside, or expressed them towards another person:",,,,,,,So chill.,"I'm good, thanks.",I'm in such a good mood.,,,,,I have some recommendations for you. Please take a look and choose any protocol that you'd like to try.,"OK, you can go ahead and try that now. When you've finished, you can press 'continue'.","Has this protocol changed how you feel, either for better or worse?",That's great! Would you like to try another one now?,Would you like to try again with a different one?
Male,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am feeling stressed today as I have a deadline to meet.,I am concerned about the direction of covid-19 in our country and recent decisions made by the government and afraid that I could catch the virus.,I am anxious about the health of my elderly father.,I hope you can cope. Do you mind if I ask you whether a particular event or issue has caused your anxiety?,Did this event happen recently or is it something that has been on your mind for some time?,I appreciate that it can be difficult to overcome negative thoughts from the past. Has trying out protocol 6 recently jogged your memory and caused you anxiety by making you recall this event?,I appreciate that it can be difficult to overcome negative thoughts from the past. Has trying out protocol 11 recently jogged your memory and caused you anxiety by making you recall this event?,I am more than happy to listen to your concerns and sharing your feelings with me. Would you like to talk some more so that I can provide some useful suggestions to you?,"Sometimes anxiety may cause a lack of trust in people, anger towards others or wanting to seek revenge. Do you feel that your anxiety may have caused you to feel any of these other emotions:",,,,,,,I am particular pleased today with my stock market portfolio performance.,The weather has been very good today and we had an enjoyable leisurely walk in the park.,My football team won today which always puts me in a good mood.,,,,,There are various protocols that I would definitely recommend. Please select the one which you think is best suited for you.,,How do you feel now? I hope that it will have been of benefit to you.,That's very good to hear. Would you like to continue and pick another protocol?,"I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you like to try another? "
